title,author
100 Selected Poems,e. e. cummings
100 Years of The Best American Short Stories,Lorrie Moore
"1001 Beds: Performances, Essays, and Travels (Living Out: Gay and Lesbian Autobiog)",Tim Miller
1001 Children's Books You Must Read Before You Grow Up,Julia Eccleshare
101 Famous Poems,Roy Cook
"1020 Haiku in Translation: The Heart of Basho, Buson and Issa",William R. Nelson
11/22/63: A Novel,Stephen King
12 Plays: A Portable Anthology,Janet E. Gardner
1356: A Novel,Bernard Cornwell
187 Reasons Mexicanos Can't Cross the Border: Undocuments 1971-2007,Juan Felipe Herrera
"19 Book Set: The Aubrey Maturin Series - Master and Commander, Post Captain, HMS Surprise, The Mauritius Command, Desolation Island, The Fortune of War, The Surgeon's Mate, The Ionian Mission, Treason's Harbour, The Far Side of the World + 9 More (The Aubrey - Maturin Series Set, Vol. 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",Patrick O'Brian
1956 and All That: The Making of Modern British Drama,Dan Rebellato
1Q84: 3 Volume Boxed Set (Vintage International),Haruki Murakami
2.5 Minute Ride and 101 Most Humiliating Stories,Lisa Kron
"20,000 Leagues Under the Sea (Dramatized)",Jules Verne
2000x: R.U.R. (Dramatized),Karel Capek
21 Speeches That Shaped Our World: The People and Ideas That Changed the Way We Think,Chris Abbott
21: The Final Unfinished Voyage of Jack Aubrey (Vol. Book 21)  (Aubrey/Maturin Novels),Patrick O'Brian
2666 (Spanish Edition),Roberto Bolao
3 - La cura mortal - Maze Runner (Maze Runner Trilogy) (Spanish Edition),James Dashner
30 Ten-Minute Plays from the Actors Theatre of Louisville for 2 Actors,Michael Bigelow Dixon
30 Under 30: An Anthology of Innovative Fiction by Younger Writers,Blake Butler
36 Arguments for the Existence of God: A Work of Fiction (Vintage Contemporaries),Rebecca Goldstein
365 Days / 365 Plays,Suzan-Lori Parks
"4 Book Set : The Aubrey-Maturin Series - Master and Commander, Post Captain, HMS Surprise, The Mauritius Command (The Aubrey-Maturin Series, Vol. 1, 2, 3, 4)",Patrick O'Brian
40 Short Stories: A Portable Anthology,Beverly Lawn
4000 Miles,Amy Herzog
4000 Miles and After the Revolution: Two Plays,Amy Herzog
"44 Scotland Street (44 Scotland Street Series, Book 1)",Alexander McCall Smith
47 Ronin,John Allyn
491 Days: Prisoner Number 1323/69 (Modern African Writing Series),Winnie Madikizela-Mandela
50 Essays: A Portable Anthology,Samuel Cohen
501 Must-Know Speeches,Bounty
51 Shades of Chocolate,Christopher Milano
52 Bible Characters Dramatized: Easy-to-Use Monologues for All Occasions,Kenneth W. Osbeck
60 Seconds to Shine Volume 2: 221 One-minute Monologues For Women,John Capecci
777 And Other Qabalistic Writings of Aleister Crowley: Including Gematria & Sepher Sephiroth,Aleister Crowley
"9/11 Fiction, Empathy, and Otherness",Tim Gauthier
A 30-Minute Summary of Sue Monk Kidd's The Invention of Wings,InstaRead Summaries
A Baby for Christmas (Love at The Crossroads) (Volume 2),Pat Simmons
A Banner of Love,Josephine Garner
A Barthes Reader,Roland Barthes
A Beautiful Place to Die: An Emmanuel Cooper Mystery,Malla Nunn
A Beautiful Wedding: A Novella (Beautiful Disaster Series),Jamie McGuire
A Blaze of Glory: A Novel of the Battle of Shiloh (the Civil War in the West),Jeff Shaara
A Blossom of Bright Light (A Jimmy Vega Mystery),Suzanne Chazin
A Bollywood Affair,Sonali Dev
A Book of Middle English,J. A. Burrow
A Book That Was Lost: Thirty Five Stories (Hebrew Classics),S. Y. Agnon
A Boy and His Soul (Oberon Modern Plays),Colman Domingo
A Battle Won,S. Thomas Russell
A Boy of Good Breeding: A Novel,Miriam Toews
A Brave Man Seven Storeys Tall: A Novel (P.S.),Will Chancellor
A Brief History of Seven Killings: A Novel,Marlon James
A Brilliant Madness,Robert M Drake
A Broken Girl's Journey 4: Kylie's Song (Volume 4),Niki Jilvontae
A Brownsville Tale 2 (Volume 2),Sonovia Alexander
A Carrot a Day: A Daily Dose of Recognition for Your Employees,Adrian Gostick
A Cartoon History of Texas,Patrick M. Reynolds
A Chain of Thunder: A Novel of the Siege of Vicksburg (the Civil War in the West),Jeff Shaara
A Child's Garden of Verses (Large Print Edition),Robert Louis Stevenson
A Child's Portrait of Shakespeare (Shakespeare Can Be Fun series),Lois Burdett
A Christmas Carol,Charles Dickens
A Christmas Carol,Charles Dickens
A Christmas Carol and Other Christmas Books (Oxford World's Classics),Charles Dickens
A Clockwork Orange,Anthony Burgess
A Clockwork Orange Easton Press Leatherbound,Anthony Burgess
A Colebridge Quilted Christmas (Colebridge Community),Hazelwood
A Common Life: The Wedding Story (The Mitford Years #6),Jan Karon
A Confederacy of Dunces,John Kennedy Toole
A Confederacy of Dunces Cookbook: Recipes from Ignatius J. Reilly's New Orleans,Cynthia LeJeune Nobles
A Connecticut Yankee In King Arthur's Court,Mark Twain
A Connecticut Yankee in King Arthur's Court (Dover Thrift Editions),Mark Twain
A Constellation of Vital Phenomena: A Novel,Anthony Marra
"A Corresponding Renaissance: Letters Written by Italian Women, 1375-1650",Lisa Kaborycha
A Critical Companion to Beowulf,Andy Orchard
A Cup of Christmas Tea,Tom Hegg
A Dance of Blades (Shadowdance 2),David Dalglish
A Dance of Mirrors (Shadowdance 3),David Dalglish
A Daughter of Zion (Zion Chronicles),Bodie Thoene
A Day In August,Reis Armstrong
A Death in the Family: A Detective Kubu Mystery,Michael Stanley
A Decent Ride: A Novel,Irvine Welsh
A Deeper Love Inside: The Porsche Santiaga Story,Sister Souljah
"A Diary With Reminiscences Of The War And Refugee Life In The Shenandoah Valley, 1860-1865",Cornelia McDonald
A Dictionary of Critical Theory (Oxford Paperback Reference),Ian Buchanan
A Dictionary of Haiku: Second Edition,Jane Reichhold
A Dictionary of Northern Mythology,Rudolf Simek
A Different Kind of Courage,Sarah Holman
A Dirty Job: A Novel,Christopher Moore
"A Dirty Shame: J.J. Graves Mystery, Book 2",Liliana Hart
A Dog's Purpose,W. Bruce Cameron
A Doll's House (Dover Thrift Editions),Henrik Ibsen
A Dollar Outta Fifteen Cent 3: Mo' Money...Mo' Problems,Caroline McGill
A Dream Play,August Strindberg
A Face in the Crowd,Stephen King
