Team,#,Pos.,FIFA Popular Name,Birth Date,Shirt Name,Club,Height,Weight
Argentina,3,DF,TAGLIAFICO Nicolas,31.08.1992,TAGLIAFICO,AFC Ajax (NED),169,65
Argentina,22,MF,PAVON Cristian,21.01.1996,PAVÓN,CA Boca Juniors (ARG),169,65
Argentina,15,MF,LANZINI Manuel,15.02.1993,LANZINI,West Ham United FC (ENG),167,66
Argentina,18,DF,SALVIO Eduardo,13.07.1990,SALVIO,SL Benfica (POR),167,69
Argentina,10,FW,MESSI Lionel,24.06.1987,MESSI,FC Barcelona (ESP),170,72
Argentina,4,DF,ANSALDI Cristian,20.09.1986,ANSALDI,Torino FC (ITA),181,73
Argentina,5,MF,BIGLIA Lucas,30.01.1986,BIGLIA,AC Milan (ITA),175,73
Argentina,7,MF,BANEGA Ever,29.06.1988,BANEGA,Sevilla FC (ESP),175,73
Argentina,14,DF,MASCHERANO Javier,08.06.1984,MASCHERANO,Hebei China Fortune FC (CHN),174,73
Argentina,21,FW,DYBALA Paulo,15.11.1993,DYBALA,Juventus FC (ITA),177,73
Argentina,19,FW,AGUERO Sergio,02.06.1988,AGÜERO,Manchester City FC (ENG),172,74
Argentina,9,FW,HIGUAIN Gonzalo,10.12.1987,HIGUAÍN,Juventus FC (ITA),184,75
Argentina,11,MF,DI MARIA Angel,14.02.1988,DI MARÍA,Paris Saint-Germain FC (FRA),178,75
Argentina,20,MF,LO CELSO Giovani,09.04.1996,LO CELSO,Paris Saint-Germain FC (FRA),177,75
Argentina,13,MF,MEZA Maximiliano,15.12.1992,MEZA,CA Independiente (ARG),180,76
Argentina,8,DF,ACUNA Marcos,28.10.1991,ACUÑA,Sporting CP (POR),172,77
Argentina,23,GK,CABALLERO Wilfredo,28.09.1981,CABALLERO,Chelsea FC (ENG),186,80
Argentina,2,DF,MERCADO Gabriel,18.03.1987,MERCADO,Sevilla FC (ESP),181,81
Argentina,17,DF,OTAMENDI Nicolas,12.02.1988,OTAMENDI,Manchester City FC (ENG),181,81
Argentina,16,DF,ROJO Marcos,20.03.1990,ROJO,Manchester United FC (ENG),189,82
Argentina,6,DF,FAZIO Federico,17.03.1987,FAZIO,AS Roma (ITA),199,85
Argentina,12,GK,ARMANI Franco,16.10.1986,ARMANI,CA River Plate (ARG),189,85
Argentina,1,GK,GUZMAN Nahuel,10.02.1986,GUZMÁN,Tigres UANL (MEX),192,90
Australia,16,DF,BEHICH Aziz,16.12.1990,BEHICH,Bursaspor (TUR),170,63
Australia,10,FW,KRUSE Robbie,05.10.1988,KRUSE,VfL Bochum (GER),180,66
Australia,19,DF,RISDON Joshua,27.07.1992,RISDON,WS Wanderers FC (AUS),169,70
Australia,3,DF,MEREDITH James,05.04.1988,MEREDITH,Millwall FC (ENG),179,71
Australia,13,MF,MOOY Aaron,15.09.1990,MOOY,Huddersfield Town FC (ENG),173,72
Australia,14,FW,MacLAREN Jamie,29.07.1993,MACLAREN,Hibernian FC (SCO),178,72
Australia,21,FW,PETRATOS Dimitrios,10.11.1992,PETRATOS,Newcastle United Jets FC (AUS),176,72
Australia,17,FW,ARZANI Daniel,04.01.1999,ARZANI,Melbourne City FC (AUS),171,73
Australia,4,FW,CAHILL Tim,06.12.1979,CAHILL,Millwall FC (ENG),180,76
Australia,8,MF,LUONGO Massimo,25.09.1992,LUONGO,Queens Park Rangers FC (ENG),176,76
Australia,20,DF,SAINSBURY Trent,05.01.1992,SAINSBURY,Grasshopper Club (SUI),183,76
Australia,22,MF,IRVINE Jackson,07.03.1993,IRVINE,Hull City FC (ENG),180,77
Australia,5,DF,MILLIGAN Mark,04.08.1985,MILLIGAN,Al Ahli SC (KSA),178,78
Australia,15,MF,JEDINAK Mile,03.08.1984,JEDINAK,Aston Villa FC (ENG),188,78
Australia,9,FW,JURIC Tomi,22.07.1991,JURIC,FC Luzern (SUI),190,80
Australia,1,GK,RYAN Mathew,08.04.1992,RYAN,Brighton & Hove Albion FC (ENG),184,82
Australia,6,DF,JURMAN Matthew,08.12.1989,JURMAN,Suwon Samsung Bluewings FC (KOR),190,83
Australia,7,FW,LECKIE Mathew,04.02.1991,LECKIE,Hertha BSC (GER),181,84
Australia,2,DF,DEGENEK Milos,28.04.1994,DEGENEK,Yokohama F-Marinos (JPN),187,85
Australia,11,FW,NABBOUT Andrew,17.12.1992,NABBOUT,Urawa Reds (JPN),178,85
Australia,12,GK,JONES Brad,19.03.1982,JONES,Feyenoord Rotterdam (NED),193,87
Australia,23,MF,ROGIC Tom,16.12.1992,ROGIC,Celtic FC (SCO),189,88
Australia,18,GK,VUKOVIC Danny,27.03.1985,VUKOVIC,KRC Genk (BEL),187,94
Belgium,14,FW,MERTENS Dries,06.05.1987,MERTENS,SSC Napoli (ITA),169,61
Belgium,11,MF,CARRASCO Yannick,04.09.1993,CARRASCO,Dalian Yifang FC (CHN),180,67
Belgium,7,MF,DE BRUYNE Kevin,28.06.1991,DE BRUYNE,Manchester City FC (ENG),181,70
Belgium,16,MF,HAZARD Thorgan,29.03.1993,T. HAZARD,VfL Borussia Mönchengladbach (GER),174,70
Belgium,17,MF,TIELEMANS Youri,07.05.1997,TIELEMANS,AS Monaco (FRA),176,72
Belgium,6,MF,WITSEL Axel,12.01.1989,WITSEL,Tianjin Quanjian FC (CHN),186,73
