_id,location,title,price
"ObjectId(""5ef8a7939b57885c8c5fde4a"")",南山区·前海,整租·星海名城一期四组团 2室1厅,6800
"ObjectId(""5ef8a7949b57885c8c5fde4c"")",宝安区·翻身 距1号线(罗宝线)-宝安中心站1km,整租·卡罗社区 1室1厅,5300
"ObjectId(""5ef8a7949b57885c8c5fde4f"")",南山区·深圳湾,整租·鸿威海怡湾 3室2厅,14000
"ObjectId(""5ef8a7949b57885c8c5fde51"")",龙华区·龙华中心 距4号线(龙华线)-龙华站913m,整租·鸿荣源·壹城中心第九区 4室2厅,7100
"ObjectId(""5ef8a7949b57885c8c5fde53"")",罗湖区·百仕达 距3号线(龙岗线)-翠竹站304m,整租·翠竹苑 2室1厅,4200
"ObjectId(""5ef8a7a49b57885c8c5fde59"")",龙岗区·布吉关 距3号线(龙岗线)-布吉站811m,整租·国展苑 2室1厅,3800
"ObjectId(""5ef8a7a49b57885c8c5fde5b"")",南山区·后海 距2号线(蛇口线)-登良站937m,整租·南油生活B区 1室0厅,3000
"ObjectId(""5ef8a7a49b57885c8c5fde5d"")",宝安区·新安 距5号线(环中线)-灵芝站98m,整租·都市翠海华苑 1室0厅,2700
"ObjectId(""5ef8a7a59b57885c8c5fde5f"")",福田区·皇岗,整租·皇御苑三期 2室1厅,7500
"ObjectId(""5ef8a7a59b57885c8c5fde61"")",南山区·后海 距9号线-南油站858m,整租·新一代国际公寓 1室1厅,5100
"ObjectId(""5ef8a7a59b57885c8c5fde63"")",福田区·八卦岭,整租·岭尚时代园 1室1厅,4500
"ObjectId(""5ef8a7ad9b57885c8c5fde68"")",福田区·竹子林,整租·竹园小区 1室1厅,2700
"ObjectId(""5ef8a7ad9b57885c8c5fde6a"")",龙华区·龙华中心 距4号线(龙华线)-清湖站902m,整租·保利悦都 2室2厅,5000
"ObjectId(""5ef8a7ae9b57885c8c5fde6c"")",宝安区·西乡,整租·财富港大厦 1室1厅,3400
"ObjectId(""5ef8a7ae9b57885c8c5fde6e"")",南山区·红树湾 距1号线(罗宝线)-白石洲站64m,整租·国际市长交流中心 1室1厅,4300
"ObjectId(""5ef8a7ae9b57885c8c5fde70"")",盐田区·梅沙,整租·万科东海岸 1室0厅,2300
"ObjectId(""5ef8a7b89b57885c8c5fde75"")",龙华区·梅林关,整租·星河盛世 1室1厅,5300
"ObjectId(""5ef8a7b99b57885c8c5fde77"")",福田区·梅林 距4号线(龙华线)-上梅林站663m,整租·金燕园 1室1厅,3000
"ObjectId(""5ef8a7b99b57885c8c5fde79"")",宝安区·新安,整租·联建君钰府 2室1厅,4000
"ObjectId(""5ef8a7ba9b57885c8c5fde7c"")",福田区·梅林 距4号线(龙华线)-上梅林站311m,整租·梅林四村 4室2厅,7300
"ObjectId(""5ef8a7ba9b57885c8c5fde7e"")",福田区·竹子林 距1号线(罗宝线)-竹子林站341m,整租·越众小区 2室2厅,5500
"ObjectId(""5ef8a7bb9b57885c8c5fde80"")",南山区·南山中心 距9号线-荔林站646m,整租·天安公寓 1室0厅,2000
"ObjectId(""5ef8a7c69b57885c8c5fde85"")",宝安区·新安,整租·海雅缤纷城 1室1厅,4500
"ObjectId(""5ef8a7c69b57885c8c5fde88"")",宝安区·桃源居,整租·桃源居三区 3室1厅 错层,4800
"ObjectId(""5ef8a7c69b57885c8c5fde8a"")",龙华区·红山 距4号线(龙华线)-红山站645m,整租·龙光玖钻 2室2厅,4500
"ObjectId(""5ef8a7c79b57885c8c5fde8c"")",福田区·石厦 距3号线(龙岗线)-石厦站585m,整租·葵花公寓 1室1厅 复式,5550
"ObjectId(""5ef8a7c79b57885c8c5fde8e"")",坪山区·坪山,整租·深业东城国际 4室2厅,3200
"ObjectId(""5ef8a7d79b57885c8c5fde96"")",龙华区·龙华中心,整租·鸿荣源·壹成中心第六区 4室2厅,6800
"ObjectId(""5ef8a7d89b57885c8c5fde99"")",福田区·上下沙,整租·花好园 1室1厅,5000
"ObjectId(""5ef8a7d89b57885c8c5fde9c"")",南山区·科技园,整租·松坪村东区三期 2室1厅,5300
"ObjectId(""5ef8a7d89b57885c8c5fde9e"")",龙华区·龙华中心,整租·鸿荣源·壹成中心第六区 3室2厅,5900
"ObjectId(""5ef8a7d99b57885c8c5fdea0"")",宝安区·新安 距5号线(环中线)-洪浪北站190m,整租·勤诚达前海世界 2室2厅,7500
"ObjectId(""5ef8a7d99b57885c8c5fdea2"")",福田区·新洲 距7号线-沙尾站435m,整租·蜜园 2室1厅,5800
"ObjectId(""5ef8a7e59b57885c8c5fdeb3"")",福田区·福田中心 距1号线(罗宝线)-岗厦站367m,整租·星河世纪 2室1厅,9500
"ObjectId(""5ef8a7e69b57885c8c5fdeb6"")",南山区·西丽 距7号线-珠光站138m,整租·龙联花园 3室2厅,5200
"ObjectId(""5ef8a7e69b57885c8c5fdeb8"")",龙岗区·布吉街,整租·又一村花园 2室1厅,1980
"ObjectId(""5ef8a7e69b57885c8c5fdeba"")",南山区·前海 距1号线(罗宝线)-大新站1.2km,整租·星海名城五期 2室1厅,5100
"ObjectId(""5ef8a7e79b57885c8c5fdebc"")",龙岗区·坂田,整租·万科第五园三期 3室2厅,5500
"ObjectId(""5ef8a7e79b57885c8c5fdebe"")",龙华区·观澜,整租·华盛峰荟名庭 1室1厅,2100
"ObjectId(""5ef8a7f29b57885c8c5fdec3"")",南山区·大学城 距7号线-西丽湖站786m,整租·德意名居一期 2室2厅,7800
"ObjectId(""5ef8a7f29b57885c8c5fdec5"")",龙岗区·横岗 距3号线(龙岗线)-六约站526m,整租·振业城 5室3厅,9000
