,Unnamed: 0,名字,投票人数,类型,产地,上映时间,时长,年代,评分,首映地点
0,0,肖申克的救赎,692795.0,剧情,美国,1994-09-10 00:00:00,142,1994,9.6,多伦多电影节
1,1,控方证人,42995.0,剧情,美国,1957-12-17 00:00:00,116,1957,9.5,美国
2,2,美丽人生 ,327855.0,剧情,意大利,1997-12-20 00:00:00,116,1997,9.5,意大利
3,3,阿甘正传,580897.0,剧情,美国,1994-06-23 00:00:00,142,1994,9.4,洛杉矶首映
4,4,霸王别姬,478523.0,剧情,中国,1993-01-01 00:00:00,171,1993,9.4,香港
5,5,泰坦尼克号 ,157074.0,剧情,美国,2012-04-10 00:00:00,194,2012,9.4,中国
6,6,辛德勒的名单,306904.0,剧情,美国,1993-11-30 00:00:00,195,1993,9.4,华盛顿首映
7,7,新世纪福音战士剧场版：Air/真心为你 新世紀エヴァンゲリオン劇場版 Ai,24355.0,剧情,日本,1997-07-19 00:00:00,87,1997,9.4,日本
8,8,银魂完结篇：直到永远的万事屋 劇場版 銀魂 完結篇 万事屋よ,21513.0,剧情,日本,2013-07-06 00:00:00,110,2013,9.4,日本
9,9,这个杀手不太冷 ,662552.0,剧情,法国,1994-09-14 00:00:00,133,1994,9.4,法国
10,10,灿烂人生 ,16807.0,剧情,意大利,2003-06-22 00:00:00,366,2003,9.3,美国
11,11,疯狂动物城,284652.0,喜剧,美国,2016-03-04 00:00:00,109,2016,9.3,中国/美国
12,12,福音战士新剧场版：破 ヱヴァンゲリヲン新劇場版：,32524.0,剧情,日本,2009-06-27 00:00:00,108,2009,9.3,美国
13,13,海豚湾,159302.0,纪录片,美国,2009-07-31 00:00:00,92,2009,9.3,美国
14,14,回忆积木小屋 つみきのい,93384.0,剧情,日本,2008-06-10 00:00:00,12,2008,9.3,美国
15,15,机器人总动员 ,421734.0,喜剧,美国,2008-06-27 00:00:00,98,2008,9.3,美国
16,16,十二怒汉,134949.0,剧情,美国,1957-04-01 00:00:00,96,1957,9.3,美国
17,17,旅行到宇宙边缘,10044.0,纪录片,美国,2008-11-07 00:00:00,90,2008,9.3,美国
18,18,父与女,53358.0,剧情,英国,2001-05-27 00:00:00,60,2001,9.2,美国
19,19,暴力云与送子鹳,75567.0,喜剧,美国,2009-05-29 00:00:00,6,2009,9.2,美国
20,20,城市之光,31105.0,剧情,美国,1931-01-30 00:00:00,87,1931,9.2,美国
21,21,大闹天宫,74881.0,动画,中国,1961-05-14 00:00:00,114,1961,9.2,上集
22,22,盗梦空间,642134.0,剧情,美国,2010-09-01 00:00:00,148,2010,9.2,中国
23,23,放牛班的春天,370585.0,剧情,法国,2004-10-16 00:00:00,97,2004,9.2,中国
24,24,海上钢琴师,501153.0,剧情,意大利,1998-10-28 00:00:00,165,1998,9.2,意大利
25,25,家园,32717.0,纪录片,法国,2009-06-05 00:00:00,118,2009,9.2,美国
26,26,教父,280871.0,剧情,美国,1972-03-15 00:00:00,175,1972,9.2,纽约首映
27,27,乱世佳人,226131.0,剧情,美国,1939-12-15 00:00:00,238,1939,9.2,亚特兰大首映
