开始时间,结束时间,话务总量,呼入量,呼出量,排队总量,平均排队时长,队列中放弃量,服务时间呼损总量,服务时间呼损率,坐席利用率,队列接通率,IVR中放弃量,客服未接听量,客户快速挂机量,通话率,服务时间呼入接通率,呼出接通率,平均通话时长,呼入平均时长,呼出平均时长,相对满意度,参评数,参评率,邀评数,邀评率,10秒呼叫接通率
2019-02-01 00:00:00,2019-02-28 23:59:59,688,589,99,39,4秒,1,120,20.37%,3.95%,80.86%,80,6,0,38.95%,58.48%,100%,00:01:36,00:01:45,00:01:22,100%,46,22.89%,201,75%,0%
2019-02-01 00:00:00,2019-02-01 23:59:59,13,10,3,2,-,0,3,37.5%,1.82%,71.43%,1,0,0,61.54%,62.5%,100%,00:01:18,00:01:17,00:01:21,100%,1,12.5%,8,100%,71.43%
2019-02-02 00:00:00,2019-02-02 23:59:59,11,10,1,0,-,0,1,16.67%,0.68%,100%,1,0,0,54.55%,83.33%,100%,00:00:38,00:00:40,00:00:31,100%,3,50%,6,100%,100%
2019-02-03 00:00:00,2019-02-03 23:59:59,12,7,5,1,-,0,1,16.67%,2.41%,83.33%,0,0,0,83.33%,83.33%,100%,00:01:20,00:00:40,00:02:00,100%,3,30%,10,100%,83.33%
2019-02-04 00:00:00,2019-02-04 23:59:59,10,10,0,0,-,0,0,0%,-,-,0,0,0,0%,0%,-,00:00:00,00:00:00,00:00:00,-,0,0%,0,0%,0%
2019-02-05 00:00:00,2019-02-05 23:59:59,38,38,0,0,-,0,0,0%,-,-,0,0,0,0%,0%,-,00:00:00,00:00:00,00:00:00,-,0,0%,0,0%,0%
2019-02-06 00:00:00,2019-02-06 23:59:59,30,30,0,0,-,0,0,0%,-,-,0,0,0,0%,0%,-,00:00:00,00:00:00,00:00:00,-,0,0%,0,0%,0%
2019-02-07 00:00:00,2019-02-07 23:59:59,47,47,0,0,-,0,0,0%,-,-,0,0,0,0%,0%,-,00:00:00,00:00:00,00:00:00,-,0,0%,0,0%,0%
2019-02-08 00:00:00,2019-02-08 23:59:59,52,52,0,0,-,0,0,0%,-,-,0,0,0,0%,0%,-,00:00:00,00:00:00,00:00:00,-,0,0%,0,0%,0%
2019-02-09 00:00:00,2019-02-09 23:59:59,34,34,0,0,-,0,0,0%,-,-,0,0,0,0%,0%,-,00:00:00,00:00:00,00:00:00,-,0,0%,0,0%,0%
2019-02-10 00:00:00,2019-02-10 23:59:59,18,18,0,0,-,0,0,0%,-,-,0,0,0,0%,0%,-,00:00:00,00:00:00,00:00:00,-,0,0%,0,0%,0%
2019-02-11 00:00:00,2019-02-11 23:59:59,24,23,1,2,5秒,0,3,15%,4.55%,100%,3,0,0,75%,85%,100%,00:01:23,00:01:18,00:02:50,100%,5,38.46%,13,72.22%,94.12%
