category,price,pro_name,pro_url,review_num
trang-diem-mat,162000 ,Mascara làm dài và tơi mi Maybelline New York Lash Sensational 10ml (Đen),https://www.lazada.vn/products/mascara-lam-dai-va-toi-mi-maybelline-new-york-lash-sensational-10ml-den-i258119198-s357605787.html?search=1,593
trang-diem-mat,265000 ,Bảng phấn mắt Maybelline New York The Nudes Palette 12 màu 9g,https://www.lazada.vn/products/bang-phan-mat-maybelline-new-york-the-nudes-palette-12-mau-9g-i258078401-s357511427.html?search=1,237
trang-diem-mat,93000 ,Chì Kẻ Mày Siêu Đơn Giản Và Tiện Lợi Define & Blend Maybelline New York 0.16g,https://www.lazada.vn/products/chi-ke-may-sieu-don-gian-va-tien-loi-define-blend-maybelline-new-york-016g-i266926873-s388400514.html?search=1,11
trang-diem-mat,140000 ,Chì Kẻ Mày,https://www.lazada.vn/products/chi-ke-may-i256056921-s349788754.html?search=1,1
trang-diem-mat,130000 ,Mascara Hai Đầu Chuốt Dài Mi Gấp 5 Lần Sivanna Super Model 5X Long,https://www.lazada.vn/products/mascara-hai-dau-chuot-dai-mi-gap-5-lan-sivanna-super-model-5x-long-i275580056-s423552304.html?search=1,1
trang-diem-mat,85000 ,Bột in chân mày 2 khuôn + phấn mày (#03 – Nâu sáng),https://www.lazada.vn/products/bot-in-chan-may-2-khuon-phan-may-03-nau-sang-i278974976-s434760656.html?search=1,1
mat,178000 ,Kem Nền Mịn Lì Tự Nhiên Maybelline New York Fit Me Matte Poreless Foundation 30ml,https://www.lazada.vn/products/kem-nen-min-li-tu-nhien-maybelline-new-york-fit-me-matte-poreless-foundation-30ml-i258098806-s357584321.html?search=1,555
moi,202000 ,Son lì mịn môi L'Oreal Paris Color Riche Matte 3.7g,https://www.lazada.vn/products/son-li-min-moi-loreal-paris-color-riche-matte-37g-i257714775-s356155073.html?search=1,1967
trang-diem-mat,180000 ,Mascara Obuse Double Wear Thái Lan,https://www.lazada.vn/products/mascara-obuse-double-wear-thai-lan-i261282780-s367822738.html?search=1,1
trang-diem-mat,160000 ,Phấn mắt Queen,https://www.lazada.vn/products/phan-mat-queen-i235063184-s299359468.html?search=1,1
trang-diem-mat,29000 ,Dầu Dừa Dưỡng Mi Nguyên Chất 100%,https://www.lazada.vn/products/dau-dua-duong-mi-nguyen-chat-100-i251389713-s333291721.html?search=1,1
trang-diem-mat,185000 ,BẢNG PHẤN MẮT TONE NUDE NÂU ODBO LOVE SWEET OD262 BROWN,https://www.lazada.vn/products/bang-phan-mat-tone-nude-nau-odbo-love-sweet-od262-brown-i259820013-s363202654.html?search=1,1
trang-diem-mat,23000 ,Bảng phấn mắt Play Color Eyes của Lameila hàng nội địa Trung - 1126,https://www.lazada.vn/products/bang-phan-mat-play-color-eyes-cua-lameila-hang-noi-dia-trung-1126-i223370219-s281411513.html?search=1,431
trang-diem-mat,24000 ,Bảng Phấn Mắt Play Color Geo 10 Bản New,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255386985-s348233991.html?search=1,257
mat,166000 ,"Bút cushion che khuyết điểm, giảm quầng thâm Maybelline New York Instant Age Rewind Concealer 6ml",https://www.lazada.vn/products/but-cushion-che-khuyet-diem-giam-quang-tham-maybelline-new-york-instant-age-rewind-concealer-6ml-i258087302-s357510642.html?search=1,177
mat,107000 ,Kem che khuyết điểm đa năng Maybelline New York Fit Me Concealer 6.8ml,https://www.lazada.vn/products/kem-che-khuyet-diem-da-nang-maybelline-new-york-fit-me-concealer-68ml-i258091883-s357580267.html?search=1,200
mat,34000 ,Chai xịt chống nắng và làm trắng da Maycreate,https://www.lazada.vn/products/chai-xit-chong-nang-va-lam-trang-da-maycreate-i273038528-s415596018.html?search=1,113
mat,35000 ,Xịt chống nắng toàn thân Maycreate,https://www.lazada.vn/products/xit-chong-nang-toan-than-maycreate-i279428125-s435972409.html?search=1,113
mat,35000 ,Chai xịt chống nắng và làm trắng da Maycreate,https://www.lazada.vn/products/chai-xit-chong-nang-va-lam-trang-da-maycreate-i263616857-s377042477.html?search=1,125
mat,310000 ,Phấn Nước Trang Điểm Dưỡng Da Mộc An Cushion (tone da tự nhiên),https://www.lazada.vn/products/phan-nuoc-trang-diem-duong-da-moc-an-cushion-tone-da-tu-nhien-i223331134-s281347711.html?search=1,125
moi,172000 ,Son Kem Chuẩn Lì Giữ Màu 16h Maybelline New York Super Stay Matte Ink 5ml,https://www.lazada.vn/products/son-kem-chuan-li-giu-mau-16h-maybelline-new-york-super-stay-matte-ink-5ml-i258092862-s357583164.html?search=1,225
moi,150000 ,Son kem lì Bbia Last Velvet Lip Tint màu 17 - cam hồng coral,https://www.lazada.vn/products/son-kem-li-bbia-last-velvet-lip-tint-mau-17-cam-hong-coral-i265722898-s382720010.html?search=1,11
moi,119000 ,Son Kem Lì Black Rouge Air Fit Velvet Tint [Best Seller],https://www.lazada.vn/products/son-kem-li-black-rouge-air-fit-velvet-tint-best-seller-i254265605-s364794429.html?search=1,208
trang-diem-mat,49000 ,"8 Khuôn vẽ chân mày, Khuôn kẻ chân mày dáng chuẩn",https://www.lazada.vn/products/8-khuon-ve-chan-may-khuon-ke-chan-may-dang-chuan-i259577547-s362657100.html?search=1,3
trang-diem-mat,15000 ,Chì Kẻ Mày Drawing Color Geometry Hàng Nội Địa Trung,https://www.lazada.vn/products/chi-ke-may-drawing-color-geometry-hang-noi-dia-trung-i257686370-s356606560.html?search=1,106
trang-diem-mat,35000 ,SÁP MẮT NHŨ DẠNG THỎI NOVO,https://www.lazada.vn/products/sap-mat-nhu-dang-thoi-novo-i214317360-s268479698.html?search=1,245
trang-diem-mat,65000 ,Bảng Phấn mắt Lameila 35 màu nội địa Trung,https://www.lazada.vn/products/bang-phan-mat-lameila-35-mau-noi-dia-trung-i271570634-s408020315.html?search=1,3
trang-diem-mat,29000 ,Bảng Phấn Mắt Play Color Geo 10 Bản New,https://www.lazada.vn/products/bang-phan-mat-play-color-geo-10-ban-new-i255345960-s348246339.html?search=1,323
trang-diem-mat,39000 ,[FS 99K + COMBO GIẢM GIÁ 12K] Combo 3 dụng cụ hỗ trợ trang điểm cho mắt - Bộ combo đầy đủ hoàn hảo cho bạn gái - Lamdepdeal,https://www.lazada.vn/products/fs-99k-combo-giam-gia-12k-combo-3-dung-cu-ho-tro-trang-diem-cho-mat-bo-combo-day-du-hoan-hao-cho-ban-gai-lamdepdeal-i212449624-s266100369.html?search=1,150
mat,325000 ,Phấn nước April Skin Magic Snow Cushion SPF 50++ PA+++,https://www.lazada.vn/products/phan-nuoc-april-skin-magic-snow-cushion-spf-50-pa-i277170275-s429338292.html?search=1,125
mat,115000 ,"Phấn Phủ Hoa Sen Kiềm Dầu, Mịn Da #1",https://www.lazada.vn/products/phan-phu-hoa-sen-kiem-dau-min-da-1-i229271889-s290812651.html?search=1,125
mat,920000 ,ItCosmetics Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40,https://www.lazada.vn/products/itcosmetics-your-skin-but-better-cc-cream-oil-free-matte-with-spf-40-i258176041-s357746209.html?search=1,125
mat,190000 ,Combo 20 gói Tinh Chất Vàng Whoo Hwa Hyun Gold Ampoule,https://www.lazada.vn/products/combo-20-goi-tinh-chat-vang-whoo-hwa-hyun-gold-ampoule-i264650927-s379454256.html?search=1,125
mat,219000 ,Kem nền dạng thỏi cao cấp BB Stick Mini SPF43 PA+++ CHÍNH HÃNG tone màu 22 dùng thích hợp với mọi loại da,https://www.lazada.vn/products/kem-nen-dang-thoi-cao-cap-bb-stick-mini-spf43-pa-chinh-hang-tone-mau-22-dung-thich-hop-voi-moi-loai-da-i235288828-s299726976.html?search=1,125
mat,550000 ,Phấn nước Teo Yang,https://www.lazada.vn/products/phan-nuoc-teo-yang-i231768022-s294258020.html?search=1,125
mat,1350000 ,Bộ Dưỡng Da Nam The Gentle For Men - BDTGFMTFS02,https://www.lazada.vn/products/bo-duong-da-nam-the-gentle-for-men-bdtgfmtfs02-i200262856-s260172959.html?search=1,125
mong,49000 ,Bộ 3 bấm móng tay UBL AG0005,https://www.lazada.vn/products/bo-3-bam-mong-tay-ubl-ag0005-i184938-s219618.html?search=1,23
moi,55000 ,"Son môi VIBELY cao cấp, son kem - [ToTo Shop]",https://www.lazada.vn/products/son-moi-vibely-cao-cap-son-kem-toto-shop-i257442109-s360075930.html?search=1,179
moi,109000 ,"Set Son Kem Holdlive HOLD LIVE Light Matte Lip Glaze, Hold LIve",https://www.lazada.vn/products/set-son-kem-holdlive-hold-live-light-matte-lip-glaze-hold-live-i269078192-s393976889.html?search=1,44
moi,88000 ,Son thỏi lì siêu nhẹ môi Baby Sexy Ver1 Kèm quà tri ân.,https://www.lazada.vn/products/son-thoi-li-sieu-nhe-moi-baby-sexy-ver1-kem-qua-tri-an-i254143920-s343686762.html?search=1,223
moi,115000 ,SON KEM LÌ SIÊU MỊN BLACK ROUGE AIR FIT VELVET TINT VERSION 2,https://www.lazada.vn/products/son-kem-li-sieu-min-black-rouge-air-fit-velvet-tint-version-2-i257203310-s354672502.html?search=1,237
moi,250000 ,SON KEM GẤC DỀN MẸ KEN COMBO 1 SON 1 DƯỠNG MÀU ĐỎ TƯƠI-CHẤT SON LỲ BỀN MÀU AN TOÀN TƯƠI MƯỚT MÔI,https://www.lazada.vn/products/son-kem-gac-den-me-ken-combo-1-son-1-duong-mau-do-tuoi-chat-son-ly-ben-mau-an-toan-tuoi-muot-moi-i246122424-s315999351.html?search=1,1
