page,price,pro_name,pro_url,rank,review_num,sales
1,180000 ,MUA 1 TẶNG 1 có video-Nước hoa nam lưu hương lâu Blue De Chenale EDP 100ml NH05,https://www.sendo.vn/mua-1-tang-1-co-video-nuoc-hoa-nam-luu-huong-lau-blue-de-chenale-edp-100ml-nh05-13455486.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_1_0_-1&source_page_id=cate1_norder_30_desc,1,314,2500
1,199000 ,[ FREE SHIP ] tông đơ gia đình JC 0817 tặng kéo cắt tỉa + lấy ráy tai,https://www.sendo.vn/free-ship-tong-do-gia-dinh-jc-0817-tang-keo-cat-tia-lay-ray-tai-10193875.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_2_0_-1&source_page_id=cate1_norder_30_desc,2,2344,10800
1,100000 ,Dao cạo râu kèm 30 lưỡi kép thay thế,https://www.sendo.vn/dao-cao-rau-kem-30-luoi-kep-thay-the-12763761.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_3_0_-1&source_page_id=cate1_norder_30_desc,3,367,3400
1,69000 ,COMBO 3 CHAI XỊT KHỬ MÙI AXE BLACK 50ML TẶNG TÚI TIỆN LỢI,https://www.sendo.vn/combo-3-chai-xit-khu-mui-axe-black-50ml-tang-tui-tien-loi-10461690.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_4_0_-1&source_page_id=cate1_norder_30_desc,4,529,1900
1,149000 ,Combo 5 Kem Đánh Răng Chống Ê Buốt Thái Lan,https://www.sendo.vn/combo-5-kem-danh-rang-chong-e-buot-thai-lan-13993671.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_5_0_-1&source_page_id=cate1_norder_30_desc,5,159,784
1,37000 ,Nước hoa Blue For Her 50ml,https://www.sendo.vn/nuoc-hoa-blue-for-her-50ml-3986946.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_6_0_-1&source_page_id=cate1_norder_30_desc,6,316,1900
1,149000 ,Combo Tuýp 5 Kem đánh răng  Thailand chống ê buốt 100ml,https://www.sendo.vn/combo-tuyp-5-kem-danh-rang-thailand-chong-e-buot-100ml-10673309.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_7_0_-1&source_page_id=cate1_norder_30_desc,7,398,1600
1,410000 ,Son Môi Trang Điểm Cao Cấp Collagen Ampoule Lipstick,https://www.sendo.vn/son-moi-trang-diem-cao-cap-collagen-ampoule-lipstick-16696509.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_8_0_-1&source_page_id=cate1_norder_30_desc,8,74,317
1,189000 ,Tông đơ - tông đơ cắt tóc gia đình,https://www.sendo.vn/tong-do-tong-do-cat-toc-gia-dinh-10417265.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_9_0_-1&source_page_id=cate1_norder_30_desc,9,320,2100
1,99000 ,Xịt khoáng Evoluderm Atomiseur Eau Pure 150ml - Chính Hãng Pháp,https://www.sendo.vn/xit-khoang-evoluderm-atomiseur-eau-pure-150ml-chinh-hang-phap-16217301.html?source_block_id=listing_products&source_info=desktop2_60_1553941322902_e2bc17c9433644dd8e164ee58cb2e044_0_algo5_-1_10_0_-1&source_page_id=cate1_norder_30_desc,10,42,186
