Shopee: No.1 Belanja Online,SHOPEE
Tokopedia - Jual Beli Online,Tokopedia
Lazada - #1 Online Shopping,Lazada
Bukalapak - Jual Beli Online,PT. Bukalapak.com
OLX Indonesia,Tokobagus
JD.id - Jual Beli Online,JD.com
ZALORA - Fashion Shopping,Zalora
Blibli - Belanja Online,Blibli
Akulaku,Akulaku
Carousell,Carousell
Zilingo Shopping,Zilingo
ZAFUL - My Fashion Story,ZAFUL
UNIQLO ID,UNIQLO
H&M,H&M
Sephora - Beauty Shopping,Sephora
AliExpress Shopping App,Alibaba
Prioriti Shopper,Prioriti Pte. Ltd
Newchic - Mode Online Shopping,Newchic
Pull & Bear,Inditex
Sale Stock Toko Baju Online,Sale Stock
ZARA,Inditex
IKEA Store,IKEA
Bershka,Inditex
Pomelo Fashion,Pomelo Fashion
Amazon - Shopping made easy,Amazon
MatahariMall,Matahari Department Store
Ponta Indonesia,Global Loyalty Indonesia
Mobil123.com,iCar Asia
eBay: Buy Sell & Save,eBay
Optik Melawai,Optik Melawai
Berrybenka,Berrybenka
Stradivarius - Fashion Store,Inditex
Sayurbox,Kreasi Nostra Mandiri
iLOTTE,Indo Lotte Makmur
Wish - Shopping Made Fun,ContextLogic
Watsons ID,Watson
BUMP - Buy & Sell Streetwear,S94 Inc.
KlikIndomaret,Indomarco Prismatama
Lazada Seller Center,Lazada
Snapcart: Cashback for Receipt,Snapcart
combyne - your perfect Outfit,combyne GmbH
8Wood,8WOOD INTERNASIONAL PT
Banggood Easy Online Shopping,Banggood
adidas Indonesia,PT. adidas Indonesia
Apple Store,Apple
Mapemall,Mitra Adiperkasa
CHARLES & KEITH,CharlesKeith.com
METRO Department Store,Kuncoro Hadi
MANGO - 在线时尚,Mango
Jollychic- جولي شيك,JOLLYCHIC
BLANJA - Jual Beli Online,Metraplasa
Ultra Voucher,Trimegah Karya Pratama
Forever 21,Forever 21
Tukar Tambah HP - Diskon HP,PT. Laku6 Online Indonesia
MyPoin,Indomarco Prismatama
Jakmall,Jakmall Digital Niaga PT
ALTHEA: Best of Korean Beauty,Althea.kr
Fonts Keyboard Cool Text Style,iApp Technologies
瘦身相机 - 天天美容瘦脸P图神器,Han Feng
elevenia - yang kamu cari ada,XL Planet
GOAT – Shop Sneakers,GOAT
GearBest Online Shopping,TJ198 Network
Berdikari Book,KaGETWEB
淘宝-双十二购物，移动生活社区,Taobao
Otten Coffee,Otten
Vova - Get Gifts & Save Money,VOVA
Prelo - Jual Sewa Titip,Prelo
JessaCollection.com,KaGETWEB
Hijabenka,Berrybenka
YAMAHA Parts Catalogue IDN,Yamaha Motor
Airfrov,HM2B
hypermart online,Matahari Putra Prima
******,******
SHEIN-Fashion Shopping Online,Shein
Sepulsa,Sepulsa
PlanetSurf Card,PT Sterling Tulus Cemerlang
ASOS,ASOS Mobile
Ace Hardware,Ace Hardware
******,******
Mothercare Indonesia,Kanmo Retail
The F Thing,Nusantara Sarana Outlet PT
MNC Shop,MNC GS HOMESHOPPING
Pedro,Pedro Group Pte Ltd
ARENA XPRNC,RINO ANGKY RAGUSTI
Tiendeo – Catálogos y ofertas,Tiendeo
ヤフオク!,Yahoo Japan
VIP Plaza,VIP Plaza
Alfacart,Sumber Trijaya Lestari
日本乐天市场 - 乐购日本正货,Rakuten
Qoo10,Giosis
URBANSTORY,Hood Digital Asia
Pasarwarga,Pasarwarga
TukangSayur.co,Mahakarya Tukang Sayur Indonesia
Cepat Cepat,Kreatifcity
MisterBrewok,Ahmad Syururi
YesStyle,YESSTYLE.COM LIMITED
Smart Closet - 我的时尚风格,Rabbit Tech Inc
welovehonda,Astra Honda
END.,Ashworth and Parker
MY Watsons,Watson
