时间戳记,Your Bitcointalk Username,Your Forum Profile Link,Your Telegram name,Your Ethereum Address,
2018/04/18 4:54:43 下午 GMT+8,Boyong02,https://bitcointalk.org/index.php?actionprofile;u1023366,CryptoWizzard,0x12Faf63F5628254f66c7f2bB53bD8Fd75bF4AB02,in
2018/04/18 5:03:39 下午 GMT+8,Koluchka,https://bitcointalk.org/index.php?actionprofile;u1926605,psyxoz,0x45B35752868929467adE7C5D8A1602d7e351120e,in
2018/04/18 5:08:38 下午 GMT+8,bilbilon,https://bitcointalk.org/index.php?actionprofile;u1144269,bilbilon,0x24bf5f007e4B06f5777C460Fb02D3521c1B521A8,in
2018/04/18 6:09:50 下午 GMT+8,anobtc,https://bitcointalk.org/index.php?actionprofile;u1198189,cajmartin,0xD3ec5A07125761494B38aE7c67e6D203dD419aae,in
2018/04/18 6:22:42 下午 GMT+8,Nekroser,https://bitcointalk.org/index.php?actionprofile;u1740777,stasstas1234,0x3612Ad505a971c72c888f6db342cA60641221f27,not in
2018/04/18 7:50:47 下午 GMT+8,yanyan111,https://bitcointalk.org/index.php?actionprofile;u906897,remremvn,0x7fed36c422441bb6746313676bcee057a038b3ce,in
2018/04/18 7:52:50 下午 GMT+8,Tranbatai,https://bitcointalk.org/index.php?actionprofile;u1528297;sasummary,Bathien,0x012BcE67aE6e48f8cD826135A4397CE8c6D8193b,in
2018/04/18 7:52:52 下午 GMT+8,Come-From-Beyond,https://bitcointalk.org/index.php?actionprofile;u46556,tranbadao,0xBa192b7E93E3B1FDbA31175d2e9419937849B6E7,in
2018/04/18 7:52:56 下午 GMT+8,patmast3r,https://bitcointalk.org/index.php?actionprofile;u230980,thientai,0xab9AB2BB767117F95fC0aEF5719f7a19f6C28499,in
2018/04/18 7:53:01 下午 GMT+8,Sergio_Demian_Lerner,https://bitcointalk.org/index.php?actionprofile;u24826,hatduck,0xecbf82AE8A9DEB54E46534A0510C5129E0e7AC28,in
2018/04/18 7:55:03 下午 GMT+8,liuqi,https://bitcointalk.org/index.php?actionprofile;u113294,coolboyngau,0x7195c6D253bF893C258a0c9b26A7D13bE74E80cE,in
2018/04/18 7:55:08 下午 GMT+8,tsoPANos,https://bitcointalk.org/index.php?actionprofile;u147103,trinhhau,0x99eeF45cb36b385484933a93FB6434752c58f7B7,in
2018/04/18 7:55:27 下午 GMT+8,Huawei202,https://bitcointalk.org/index.php?actionprofile;u1302302,rinrinvn,0x1b955e3561ff0acbd8fd22816394105fae6582fc,in
2018/04/18 7:55:34 下午 GMT+8,Adnanzzz,https://bitcointalk.org/index.php?actionprofile;u1206450,babyjorngo,0xa2b7633409e8A92374d47F7E04ee22b0AC2C5f9C,in
2018/04/18 7:55:39 下午 GMT+8,racquemis,https://bitcointalk.org/index.php?actionprofile;u30624,svaligia,0x9Cf504724e4770fA27d26Fd78fEDFEAF96A8B20e,in
2018/04/18 7:55:47 下午 GMT+8,mcelrath,https://bitcointalk.org/index.php?actionprofile;u344815,daskbdasld,0xa3B88feD7c2D88466E779a976E218EEd0EF7E2Cb,in
2018/04/18 7:55:50 下午 GMT+8,wall101,https://bitcointalk.org/index.php?actionprofile;u1123208,xonlinevip,0x5e018e8110ff20566dd40965a8d893b091de66d3,in
2018/04/18 7:55:53 下午 GMT+8,acesfull,https://bitcointalk.org/index.php?actionprofile;u1436089,mahazawinn,0x0FFc8D9c8943F2BCD17d75607d7030bD4A6EDd9a,in
2018/04/18 7:55:59 下午 GMT+8,crypto4lambo,https://bitcointalk.org/index.php?actionprofile;u112319,Takavar_baluoch,0x30b912a2f3af8b163ba9c69fe850623096cb5375,in
2018/04/18 7:56:15 下午 GMT+8,no0dlepunk,https://bitcointalk.org/index.php?actionprofile;u9627,PoreEyrt,0x8ee62c6b4c13cd24216395a05a508fcb33c5dca5,in
2018/04/18 7:56:15 下午 GMT+8,SamReomo,https://bitcointalk.org/index.php?actionprofile;u885934,doyouthink,0x4fa3D216E5a65B3EdbEb3E826006EFe7cB4C4349,in
2018/04/18 7:56:21 下午 GMT+8,SgtSpike,https://bitcointalk.org/index.php?actionprofile;u10502,trinhhauvn,0x4F4bEd631360c21ce6019Bee2AE0d9DCD98f9d28,in
2018/04/18 7:56:25 下午 GMT+8,xYakult,https://bitcointalk.org/index.php?actionprofile;u922214,wondewomen12,0x4256F5418C7be8A538167404fc7257919f63A4A6,in
2018/04/18 7:56:30 下午 GMT+8,Dazeru,https://bitcointalk.org/index.php?actionprofile;u2003069,WoodsWWW,0xdb4346d82AD8946E90A91Cf73C70c10F1f18bE47,in
2018/04/18 7:56:30 下午 GMT+8,Carlton Banks,https://bitcointalk.org/index.php?actionprofile;u64205,Mohajiroon,0x9ff610BBC4C8801B2FaD8110B0f2B44d00cCd5e8,not in
2018/04/18 7:56:36 下午 GMT+8,Pieter Wuille,https://bitcointalk.org/index.php?actionprofile;u2786,maihau123,0xcd1Ba88bDE1d1E375b3FBD377B0aF379cd55BE68,in
2018/04/18 7:56:46 下午 GMT+8,ashour,https://bitcointalk.org/index.php?actionprofile;u323940,lizamen,0xb25C463b39289B89bF88fA234C92a48De334320D,in
2018/04/18 7:56:55 下午 GMT+8,sic57005,https://bitcointalk.org/index.php?actionprofile;u1053306,trinhtieusang,0x9f33d0e6634906880ea825eb85b2ae0e452961af,in
2018/04/18 7:57:05 下午 GMT+8,puremage111,https://bitcointalk.org/index.php?actionprofile;u192486,zhengshuang2201,0xca2e2c15c58776736eecec49ff304be08c15a034,in
2018/04/18 7:57:06 下午 GMT+8,Anonymous619,https://bitcointalk.org/index.php?actionprofile;u765630,maziarmt123,0x357585867cB45F84D59690Eb18F616C779d34837,in
2018/04/18 7:57:13 下午 GMT+8,defxor,https://bitcointalk.org/index.php?actionprofile;u16741,hcdhfhs,0xB1EBaDE1138AB362dF7c3919acF72f3996Cb28E4,in
2018/04/18 7:57:17 下午 GMT+8,Shevek,https://bitcointalk.org/index.php?actionprofile;u22936,maithien123,0x0BE7d1c4CACe74c94152d3A10e70081A33d7cae8,in
2018/04/18 7:57:33 下午 GMT+8,crazymadogy2,https://bitcointalk.org/index.php?actionprofile;u959763,mynamjohnson,0xA09CE4E70Ec9893BEe177aA5aA180F2A88538d55,in
2018/04/18 7:57:35 下午 GMT+8,pB11,https://bitcointalk.org/index.php?actionprofile;u30166,hauminh123,0x1c4f2c5864fb5015A5e991C1aDC4a2b7E35d1865,in
2018/04/18 7:57:39 下午 GMT+8,Devilwalk,https://bitcointalk.org/index.php?actionprofile;u518345,quynhpham15,0x2db3d71430308093982b88F5ABbF46b696C75E82,in
2018/04/18 7:57:43 下午 GMT+8,error,https://bitcointalk.org/index.php?actionprofile;u4931,minhhau123,0x50de551c0C3DDa72615e8791C5bf2236D206eBFc,in
2018/04/18 7:57:46 下午 GMT+8,GOODCASH,https://bitcointalk.org/index.php?actionprofile;u1265145,grayfomas,0x2cF04a88E331162cd1D676E8D562653f0aFa144,in
2018/04/18 7:57:51 下午 GMT+8,Rassah,https://bitcointalk.org/index.php?actionprofile;u20203,SebastianSmart,0xd001b7e8ae4dEE56fdeEC0D4d5EBa2d07dB7dbB0,in
2018/04/18 7:57:59 下午 GMT+8,intel86,https://bitcointalk.org/index.php?actionprofile;u1200855,xcvze,0x6232cf8ce3259b2f49bc1c05bd6755a03c119b8c,not in
2018/04/18 7:58:02 下午 GMT+8,RaTTuS?? ? ? ? ?,https://bitcointalk.org/index.php?actionprofile;u16513,hamtermaster,0xD46AAa44d447791bD60251f67D8fE84ff8fD9Df0,in
2018/04/18 7:58:05 下午 GMT+8,jackjack,https://bitcointalk.org/index.php?actionprofile;u21053,harioon,0x3C5cf89757AE9FE36E855A02c6B68A3c45d59c8D,in
2018/04/18 7:58:17 下午 GMT+8,tambok,https://bitcointalk.org/index.php?actionprofile;u916983,manhs2thanh,0x6d5b269dfe1331f26412bae8e57b7f0551c0a41a,in
2018/04/18 7:58:19 下午 GMT+8,samr7,https://bitcointalk.org/index.php?topic25804.0,hanatan123,0x70992232fcA3D1b90D5065Ed2a858D845366617F,in
2018/04/18 7:58:22 下午 GMT+8,Anarc Senior,https://bitcointalk.org/index.php?actionprofile;u1052191,adcarrry,0xd227577e1553d0eb6a93cf4243708d932697f228,in
2018/04/18 7:58:23 下午 GMT+8,davux,https://bitcointalk.org/index.php?actionprofile;u2151,thienthan991,0x2B27688168864B4Cb0b93BEc7a9B46d2b87d9dbe,in
2018/04/18 7:58:34 下午 GMT+8,Jonathan Ryan Owens,https://bitcointalk.org/index.php?actionprofile;u22299,animeblouse,0x62e011006E5D390Feb85E1E1222E38FaaCBbaf5c,in
2018/04/18 7:58:45 下午 GMT+8,Yeti,https://bitcointalk.org/index.php?actionprofile;u18093,emtechvina2015,0x36e8a8B649158F78B391dd4D076B38d5616a2b17,in
2018/04/18 7:58:53 下午 GMT+8,HostFat,https://bitcointalk.org/index.php?actionprofile;u203,bsfahfhafafa,0xeb3631924aaAc8d94E6aA5E638302833263cA65c,in
2018/04/18 7:58:54 下午 GMT+8,Getmon,https://bitcointalk.org/index.php?actionprofile;u734434,vitran193,0x0a42665aef4b499f2a07e787e9cf9d48b65fc2fe,in
2018/04/18 7:58:58 下午 GMT+8,bitperson,https://bitcointalk.org/index.php?actionprofile;u1459810,adumantic,0x7Ac9ba16D42965Dd26aECcf3cf4c1Cb14aDAed3C,in
2018/04/18 7:59:01 下午 GMT+8,willphase,https://bitcointalk.org/index.php?actionprofile;u20321,Sayvan_3458,0xbfdF0D2a9B452eF61CabD931534496010347e70C,in
2018/04/18 7:59:16 下午 GMT+8,vandvl,https://bitcointalk.org/index.php?actionprofile;u963742,fsfah2424,0xc741e3458d06088fd6af862fca50d256a7ce55f0,in
2018/04/18 7:59:19 下午 GMT+8,Red Emerald,https://bitcointalk.org/index.php?actionprofile;u39000,dhdlsahdhasdgao,0x601CAD0216255c048FC9625eCB1a47E1B2BB1beC,not in
2018/04/18 7:59:20 下午 GMT+8,molecular,https://bitcointalk.org/index.php?actionprofile;u3771,madabadfs,0xd5218156b5d7190e84952e17545a27ED08C75256,in
2018/04/18 7:59:22 下午 GMT+8,JacobWilliami,https://bitcointalk.org/index.php?actionprofile;u1867902,talkwithmes,0x2368BA8643727BAb5B8eEA86a8b1718C40e72b59,in
2018/04/18 7:59:40 下午 GMT+8,deviant99,https://bitcointalk.org/index.php?actionprofile;u1121666,maivantiem,0x585487e9ce3d736b0ec7c39118b629f0296213a9,in
2018/04/18 7:59:49 下午 GMT+8,paraipan,https://bitcointalk.org/index.php?actionprofile;u29395,bdbvcncgbxf,0x8693F7Bbbcf270F8a6dF0d71aAD1d2FfE86c29A5,in
2018/04/18 7:59:53 下午 GMT+8,MadelynCohen,https://bitcointalk.org/index.php?actionprofile;u1862659,englegennd,0xE50415D81e2FDd15bc462e47473935528E7ADf60,in
2018/04/18 7:59:53 下午 GMT+8,terrytibbs,https://bitcointalk.org/index.php?actionprofile;u25477,lilipeart,0x936C51eF6C59bb58936ACF4750B8d6F9530232B0,in
2018/04/18 8:00:01 下午 GMT+8,pyna,https://bitcointalk.org/index.php?actionprofile;u31918,vietnamdailoan,0x85Fa61de8026683d3EdFd4aFA8F8af86DaE2E6dA,not in
2018/04/18 8:00:01 下午 GMT+8,BurtW,https://bitcointalk.org/index.php?actionprofile;u14808,WWdsbmzcbbfb,0xdF6f59F54933121b6dF03347431649F33dDC45c2,not in
2018/04/18 8:00:08 下午 GMT+8,theymos,https://bitcointalk.org/index.php?actionprofile;u35,hungkhai92,0x694B55b89842ea2399047057a60DE832C524d2a0,in
