时间戳记,Your Bitcointalk Username,Your Forum Profile Link,Your Twitter Link ,Number of Your Followers,Your Ethereum Address,status,note,Tokens Awarded
2018/04/18 5:08:55 下午 GMT+8,bilbilon,https://bitcointalk.org/index.php?action=profile;u=1144269,https://twitter.com/cryptoinsanemc,6000,0x24bf5f007e4B06f5777C460Fb02D3521c1B521A8, deny,,0 NABS
2018/04/18 7:55:24 下午 GMT+8,Dazeru,https://bitcointalk.org/index.php?action=profile;u=2003069,https://twitter.com/btc0Reth,773,0xdb4346d82AD8946E90A91Cf73C70c10F1f18bE47, confirmation,,30 NABS 
2018/04/18 8:59:05 下午 GMT+8,brantokrocel,https://bitcointalk.org/index.php?action=profile;u=1833945,https://twitter.com/airdropalive,774,0x69a169aE0573f058C9055b68455B5d4F99e536C1, confirmation,,30 NABS 
2018/04/18 9:00:23 下午 GMT+8,Samolet,https://bitcointalk.org/index.php?action=profile;u=1217796,https://twitter.com/LyudmAbr3,567,0x30C8D95fb80C874dc285284147d4B4a4fAeB05A9, confirmation,,30 NABS 
2018/04/18 9:10:14 下午 GMT+8,v831,https://bitcointalk.org/index.php?action=profile;u=1271453,https://twitter.com/vi_kov,3222,0x5F876B11BDF1407d7e093fb1C78acf9961B634f2, confirmation,,30 NABS 
2018/04/18 9:19:10 下午 GMT+8,bit77ok,https://bitcointalk.org/index.php?action=profile;u=1534916,https://twitter.com/Svetik5888,250,0xA5cd92E3Dd567730568f5519AE3A89091220bB2E, confirmation,,30 NABS 
2018/04/18 9:19:48 下午 GMT+8,v_i_p,https://bitcointalk.org/index.php?action=profile;u=1290176,https://twitter.com/vi77ip,3790,0x8ed4532Cb2BB4B832096910bBc1Db90175113004, confirmation,,30 NABS 
2018/04/18 9:39:56 下午 GMT+8,Irinatoken,https://bitcointalk.org/index.php?action=profile;u=1901423,https://twitter.com/Irinatoken,1252,0x0e4345dd827AaeCfB1b326900bb7E045bD680459, confirmation,,30 NABS 
2018/04/18 9:58:54 下午 GMT+8,nataliy25123,https://bitcointalk.org/index.php?action=profile;u=1797309,https://twitter.com/Vitallliy100,4300,0x90DF489eB5bb892070Fd792330E845b3daae3295, confirmation,,30 NABS 
2018/04/18 10:04:46 下午 GMT+8,Lunin2910,https://bitcointalk.org/index.php?action=profile;u=1238483,https://twitter.com/lunkin2910,10400,0x28288818a01077b7ac1B3B4a2f23304D36a8CD46, confirmation,,30 NABS 
2018/04/18 10:17:01 下午 GMT+8,Lunkins1909,https://bitcointalk.org/index.php?action=profile;u=1629266,https://twitter.com/lunkins1909,10200,0x2943c711a4Cd502CCf3C2E770Bd3d9979DEF05C5, confirmation,,30 NABS 
2018/04/18 11:34:32 下午 GMT+8,stakan4,https://bitcointalk.org/index.php?action=profile;u=1420932,https://twitter.com/quas1986,5200,0x4a5D9eBE7fEFBc72F6fd30456026A4b65604ebe3, confirmation,,30 NABS 
2018/04/19 12:14:59 上午 GMT+8,Tie_wie,https://bitcointalk.org/index.php?action=profile;u=1803950;sa=summary,https://mobile.twitter.com/aoleng27685445,1550,0x37FC14a503004F0F91239bc7F74857683AB17Ce9, confirmation,,30 NABS 
2018/04/19 12:31:41 上午 GMT+8,EstimatedValueXXX,https://bitcointalk.org/index.php?action=profile;u=1411398,https://twitter.com/V606458451,501,0x6f6B9A91a78C2e23eA086e45a53111FfA61195aD, confirmation,,30 NABS 
2018/04/19 12:40:36 上午 GMT+8,avizar,https://bitcointalk.org/index.php?action=profile;u=1197286,https://twitter.com/Avizzarr,5924,0x9F4864255B14E1515F0aF13E395adbcD0F421B20, confirmation,,30 NABS 
2018/04/19 1:41:41 上午 GMT+8,oondeel,https://bitcointalk.org/index.php?action=profile;u=1970749,https://mobile.twitter.com/Zainul10411162,1500,0xe5d231c3A729Bf0049E8E6CA64318Fc9b3eD632a, confirmation,,30 NABS 
2018/04/19 3:16:18 上午 GMT+8,dron8809,https://bitcointalk.org/index.php?action=profile;u=1470244,https://twitter.com/dron88091,3600,0xdbE361DD9D736220150C4a85561e012cefBE6AE5, deny,,0 NABS
2018/04/19 3:57:27 上午 GMT+8,CrazyClock,https://bitcointalk.org/index.php?action=profile;u=1218802,https://twitter.com/CrazyClock105,2291,0x23ef66867765aDFaA9DbC518C76B42865710A114, confirmation,,30 NABS 
2018/04/19 4:11:26 上午 GMT+8,Olga Zagorodnyaya,https://bitcointalk.org/index.php?action=profile;u=1692050,https://twitter.com/PinkFoxic,1972,0x32C235751A2C9C7f472d6eC6068E1608b6a35aD9, confirmation,,30 NABS 
2018/04/19 4:25:20 上午 GMT+8,nofear_hamster,https://bitcointalk.org/index.php?action=profile;u=1915636,https://twitter.com/mitinvla,5287,0xfEaE77bc0754D793dBCD707e058cC58956A8B6aB, deny,,0 NABS
2018/04/19 6:18:57 上午 GMT+8,makkosh,https://bitcointalk.org/index.php?action=profile;u=1871185,https://twitter.com/makkosh_tm,54,0x718bC9b19a1f7077420d015090837B17D0dBB079, confirmation,,30 NABS 
2018/04/19 6:54:13 上午 GMT+8,Mr. Pavel,https://bitcointalk.org/index.php?action=profile;u=1589865;sa=summary,https://twitter.com/Kissnoone,3267,0xc7f81C5A4D142295eC3f4052759d505f71A06826, confirmation,,30 NABS 
2018/04/19 7:10:35 上午 GMT+8,2025803,https://bitcointalk.org/index.php?action=profile;u=2025803,https://twitter.com/idol_fes,12722,0xC44Bf13A9980194DbbA435379b88242c9F6A4622, deny,,0 NABS
2018/04/19 7:19:36 上午 GMT+8,Sengoku_lanbu,https://bitcointalk.org/index.php?action=profile;u=2025803,https://twitter.com/idol_fes,12722,0xC44Bf13A9980194DbbA435379b88242c9F6A4622, deny,,0 NABS
2018/04/19 7:34:42 上午 GMT+8,hh4mmm,https://bitcointalk.org/index.php?action=profile;u=1213121,https://www.twitter.com/harrygh20,1160,0x21B20e4A807e56c2f1958a59301cEd78e7d97061 , confirmation,,30 NABS 
2018/04/19 10:12:09 上午 GMT+8,Sentoy,https://bitcointalk.org/index.php?action=profile;u=1031992;sa=summary,https://www.twitter.com/SuwantaTata,1800,0xF68E5086078A84233117183A84cb044021A8144A, confirmation,,30 NABS 
2018/04/19 12:04:20 下午 GMT+8,ayeba,https://bitcointalk.org/index.php?action=profile;u=1642756,https://twitter.com/AKPEKIAYEBAESIN,637,0x5797fb230A42be745104b0cAc063850c66B6D982, confirmation,,30 NABS 
2018/04/19 2:33:37 下午 GMT+8,Devang,https://bitcointalk.org/index.php?action=profile;u=1953796;sa=summary,https://twitter.com/Devanggupta7/status/986855260248420352?s=20,14,0xDbC1fE2B4538bb7b05afDf74FbeDD885E7a911fE, deny,,0 NABS
2018/04/19 3:00:56 下午 GMT+8,pranimbo,https://bitcointalk.org/index.php?action=profile;u=1495332,https://twitter.com/Yokopranimbo3,10500,0x80b16E5ce38F3f9c89cFBCeF1aD1a5696A66E579, deny,delete the retweet,0 NABS
2018/04/19 3:42:03 下午 GMT+8,raresh,https://bitcointalk.org/index.php?action=profile;u=1899477,https://twitter.com/NausGlobal/status/974481846070231040,2140,0xC7557805cCBB50f005F2dFB5e595a7303F0a1f05, deny,wrong twitter link,0 NABS
2018/04/19 6:28:13 下午 GMT+8,baliesta_undr,https://bitcointalk.org/index.php?action=profile;u=527529,https://twitter.com/DanataRober,743,0x5FfF7b6426a3AAE8fe1426Aea34C59313b51F42a, confirmation,,30 NABS 
