Category,Item Name,Brand,List Price,Price,Specification,Warranty Service,Stock,Warning Code,Shipping Fee,Item Url
Home:Personal Care:Women Personal Care:Kajal and Eyeliner:Lakme Kajal and Eyeliner,Lakme 9to5 Black Impact Eyeliner Eyeconic Deep Black Kajal,Lakme,Rs. 445,Rs. 356,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/kajal-and-eyeliner/lakme/lakme-9to5-black-impact-eyeliner--eyeconic-deep-black-kajal/2204738/buy
Home:Home Furnishing:Unisex Home Furnishing:Bedsheets:Story@home Bedsheets,Storyhome Teal Blue White Flat 120 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers,Story@home,Rs. 999,Rs. 499,Double XL,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/bedsheets/storyhome/storyhome-teal-blue--white-flat-120-tc-cotton-1-queen-bedsheet-with-2-pillow-covers/6786809/buy
Home:Clothing:Women Clothing:Kurtas:AKS Kurtas,AKS Women Navy Off-White Printed Straight Kurta,AKS,Rs. 1099,Rs. 549,S:M:L:XL:XXL,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/kurtas/aks/aks-women-navy--off-white-printed-straight-kurta/2463738/buy
Home:Clothing:Men Clothing:Jeans:Roadster Jeans,Roadster Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,Rs. 1799,Rs. 1079,28:30:32:34:36,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/jeans/roadster/roadster-men-black-skinny-fit-mid-rise-clean-look-stretchable-jeans/7139512/buy
Home:Home Furnishing:Unisex Home Furnishing:Tableware:Corelle Tableware,Corelle White Printed Glass Dinner Set,Corelle,Rs. 9885,Rs. 6919,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/tableware/corelle/corelle-white-printed-glass-dinner-set/7492223/buy
Home:Clothing:Men Clothing:Kurta Sets:DEYANN Kurta Sets,DEYANN Men Blue Cream-Coloured Self Design Kurta with Pyjamas,DEYANN,Rs. 3590,Rs. 1795,S:M:L:XL:XXL:3XL,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/kurta-sets/deyann/deyann-men-blue--cream-coloured-self-design-kurta-with-pyjamas/6518651/buy
Home:Footwear:Men Footwear:Casual Shoes:Puma Casual Shoes,Puma Men Black Sneakers,Puma,Rs. 3799,Rs. 1519,6:7:8:9:10:11,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/casual-shoes/puma/puma-men-black-sneakers/2353337/buy
Home:Clothing:Girls Clothing:Dresses:naughty ninos Dresses,naughty ninos Girls Magenta Solid Fit and Flare Cape Dress,naughty ninos,Rs. 1499,Rs. 674,2-3Y:3-4Y:4-5Y:5-6Y:6-7Y:7-8Y:9-10Y:11-12Y,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/dresses/naughty-ninos/naughty-ninos-girls-magenta-solid-fit-and-flare-cape-dress/2172537/buy
Home:Footwear:Girls Footwear:Casual Shoes:YK Casual Shoes,YK Girls White Sneakers With Applique Detail,YK,Rs. 2499,Rs. 999,31:30:26:34:33:32:29:28:27:35,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/casual-shoes/yk/yk-girls-white-sneakers-with-applique-detail/7373011/buy
Home:Accessories:Men Accessories:Belts:Teakwood Leathers Belts,Teakwood Leathers Men Black Brown Reversible Genuine Leather Belt,Teakwood Leathers,Rs. 2249,Rs. 854,34:36:38:40:42:44,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/belts/teakwood-leathers/teakwood-leathers-men-black--brown-reversible-genuine-leather-belt/1158696/buy
Home:Personal Care:Men Personal Care:Trimmer:Philips Trimmer,Philips Men Series 1000 Beard Trimmer BT121215,Philips,Rs. 870,Rs. 826,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/trimmer/philips/philips-men-series-1000-beard-trimmer-bt121215/2974130/buy
