category,main class,item name,price info,price,monthly sales,item url,item picture
MenShoes,Boots,Sepatu Boots Humm3r Golem size 39-44 dan 45-48,Rp198000 - Rp279000,238500,1549,https://shopee.co.id/Sepatu-Boots-Humm3r-Golem-size-39-44-dan-45-48-i.40377301.933066496,https://cf.shopee.co.id/file/c11757c079d3611d2ff9e2beef2ef41a
MenShoes,Sandals,Sandal slop kokop bulu rashfur,Rp5500,5500,2639,https://shopee.co.id/Sandal-slop-kokop-bulu-rashfur-i.57864847.1313983066,https://cf.shopee.co.id/file/d76c5c7b9583f8ece1fc0e97f599042c
MenShoes,Sandals,Sandal (sendal) Masjid Musholla Wudhu Wakaf Sedekah - Sandal Jepit SJW 01,Rp7000,7000,2270,https://shopee.co.id/Sandal-(sendal)-Masjid-Musholla-Wudhu-Wakaf-Sedekah-Sandal-Jepit-SJW-01-i.89768968.1625912569,https://cf.shopee.co.id/file/d094b5a9bdb5736f3d3bf526879121b4
MenShoes,Sandals,Arsy Sandal Gunung Slop / Sandal Pria - Hitam,Rp24900,24900,1572,https://shopee.co.id/Arsy-Sandal-Gunung-Slop-Sandal-Pria-Hitam-i.17426628.165498772,https://cf.shopee.co.id/file/28bd1c01c1ea85a0533dfaf5400be255
MenShoes,Sneakers,Sepatu Adidas Italy New Edition Size 39-43,Rp34000,34000,3212,https://shopee.co.id/Sepatu-Adidas-Italy-New-Edition-Size-39-43-i.11461206.1498532137,https://cf.shopee.co.id/file/12b052746c735fc65d2efc485e365684
MenShoes,Sneakers,NEW ADIDAS RUNNING NEO MAN,Rp45500,45500,2732,https://shopee.co.id/NEW-ADIDAS-RUNNING-NEO-MAN-i.11461206.1703536652,https://cf.shopee.co.id/file/34b1094419ed8c218f0ab3b48337b204
MenShoes,Sneakers,NIKE AIRMAX NEW EDITION 39-43,Rp45500,45500,2450,https://shopee.co.id/NIKE-AIRMAX-NEW-EDITION-39-43-i.11461206.1782696799,https://cf.shopee.co.id/file/6346fedd27e8fb0b502e079a021e529f
MenShoes,Sneakers,Sepatu Converse All Star The Best Quality + BOX CONVERSE,Rp53000,53000,2079,https://shopee.co.id/Sepatu-Converse-All-Star-The-Best-Quality-BOX-CONVERSE-i.2882546.227198457,https://cf.shopee.co.id/file/6526d93fbb2ed10ac26df118e3ac2021
MenShoes,Sneakers,Sepatu Nike V2 Zoom Running New Edition Size 39-43,Rp34000,34000,1932,https://shopee.co.id/Sepatu-Nike-V2-Zoom-Running-New-Edition-Size-39-43-i.11461206.1498505151,https://cf.shopee.co.id/file/4f28cf7e9853337618184c0b99a478da
MenShoes,Sneakers,IMPORT SEPATU V TALI PRIA !!! - 3 WARNA,Rp79000,79000,1912,https://shopee.co.id/IMPORT-SEPATU-V-TALI-PRIA-!!!-3-WARNA-i.6027438.1165412519,https://cf.shopee.co.id/file/178c052db514fb59c2b9f6f6db314b40
