category,main class,item name,price range,price_min,price_max,monthly sales,item url,item picture
category,main class,item name,price range,price_min,price_max,monthly sales,item url,item picture
家電影音,生活家電,【現貨特價】小米靜電過濾棉 靜電過濾棉 空氣清淨機 空調濾網 靜電 PM2.5 防塵 小米静電棉 小米淨化器 小米pro,$16,16,16,2343,https://shopee.tw/【現貨特價】小米靜電過濾棉-靜電過濾棉-空氣清淨機-空調濾網-靜電-PM2.5-防塵-小米静電棉-小米淨化器-小米pro-i.4093582.832823887,https://cf.shopee.tw/file/1fcac3fe0b511728b5e864c32b504806
家電影音,生活家電,日本 Maxell 新版公司貨 3V 鈕扣電池 CR2032 CR2016 CR2025 寶可夢手環 水銀電池 鈕扣,$6 - $10,6,10,4051,https://shopee.tw/日本-Maxell-新版公司貨-3V-鈕扣電池-CR2032-CR2016-CR2025-寶可夢手環-水銀電池-鈕扣-i.14187170.909317228,https://cf.shopee.tw/file/40016e3b1dcd00cb9df6b0fbc4a02754
家電影音,生活家電,松下 CR2032 2025 2016 CR1632 1620 1616 鋰電池 鈕扣電池 [LifeShopping],$8 - $25,8,25,2980,https://shopee.tw/松下-CR2032-2025-2016-CR1632-1620-1616-鋰電池-鈕扣電池-LifeShopping--i.15020206.225130428,https://cf.shopee.tw/file/f9a8d57bc0a3406f187ff2a17000f505
家電影音,生活家電,日本Maxell 新版公司貨 1.5V 鈕扣 LR44 AG13 LR41 AG3 LR1130 AG10 電池 玩具,$6 - $7,6,7,3188,https://shopee.tw/日本Maxell-新版公司貨-1.5V-鈕扣-LR44-AG13-LR41-AG3-LR1130-AG10-電池-玩具-i.14187170.909332771,https://cf.shopee.tw/file/6aa8a3af7fe52436889d0520351aaed6
家電影音,生活家電,【電池通】2018最新日本出廠Maxell CR2032 寶可夢手環 CR2025 CR2016 CR1616 LR44,$7 - $35,7,35,4363,https://shopee.tw/【電池通】2018最新日本出廠Maxell-CR2032-寶可夢手環-CR2025-CR2016-CR1616-LR44-i.7014606.747071315,https://cf.shopee.tw/file/6174b2a758f45d7f87e8fdad1928d4e0
家電影音,生活家電,怡悅光觸媒濾紙 適大金DAIKIN MC809SC MC80LSC MC75JSC MC75LSC KAC998A4濾網,$95,95,95,1203,https://shopee.tw/怡悅光觸媒濾紙-適大金DAIKIN-MC809SC-MC80LSC-MC75JSC-MC75LSC-KAC998A4濾網-i.5453670.43819658,https://cf.shopee.tw/file/f46ec09b8cccd275ce98d5bc4fca6698
家電影音,生活家電,怡悅HEPA濾心 適用於HPA-100APTW/HPA-200APTW/HPA-202APTW/HPA300/hrfr1,$8 - $316,8,316,1150,https://shopee.tw/怡悅HEPA濾心-適用於HPA-100APTW-HPA-200APTW-HPA-202APTW-HPA300-hrfr1-i.5453670.234603084,https://cf.shopee.tw/file/dac56fbe220b873a274f5584d12023ce
家電影音,生活家電,[滿千免運] URS 鈕扣電池 台灣公司附發票 AG13 AG3 CR2032 電池 水銀電池 鋰電池 手錶電池 贈禮品,$1 - $3,1,3,1670,https://shopee.tw/-滿千免運-URS-鈕扣電池-台灣公司附發票-AG13-AG3-CR2032-電池-水銀電池-鋰電池-手錶電池-贈禮品-i.2562513.1834847519,https://cf.shopee.tw/file/b2e8dda0f22467f926264250e9182ffd
家電影音,生活家電,【YQ小舖】 小米 石頭 小瓦 三腳 邊刷 主刷 配件 耗材 掃地機器人 抹布 水洗 濾網 主刷罩 虛擬牆 掃地機 濾芯,$39 - $195,39,195,1033,https://shopee.tw/【YQ小舖】-小米-石頭-小瓦-三腳-邊刷-主刷-配件-耗材-掃地機器人-抹布-水洗-濾網-主刷罩-虛擬牆-掃地機-濾芯-i.14414702.1057366615,https://cf.shopee.tw/file/a53da654c2b2833e6bfd1b822301a2ae
家電影音,生活家電,【現貨 免運費】贈刀頭 電動強力除毛球機 充電式刮毛球機 去毛球機 電動除毛器 除毛球刀 除毛球器【HAS832】,$30 - $195,30,195,827,https://shopee.tw/【現貨-免運費】贈刀頭-電動強力除毛球機-充電式刮毛球機-去毛球機-電動除毛器-除毛球刀-除毛球器【HAS832】-i.4031525.1023019466,https://cf.shopee.tw/file/64e0925c114afd76b125ed3c9d042608
家電影音,生活家電,買10送1 日立 cv-am14 CVP6吸塵器 紙袋 吸塵袋 集塵袋 CV-T46 CV-T41,$15,15,15,842,https://shopee.tw/買10送1-日立-cv-am14-CVP6吸塵器-紙袋-吸塵袋-集塵袋-CV-T46-CV-T41-i.37222094.1686224321,https://cf.shopee.tw/file/a8e300fff3ff78108f92a812fb34ad1f
