,status,
cryptoinsanemc,retweet deny,0
btc0Reth,retweet confirmation,30
airdropalive,retweet confirmation,30
LyudmAbr3,retweet confirmation,30
vi_kov,retweet confirmation,30
Svetik5888,retweet confirmation,30
vi77ip,retweet confirmation,30
Irinatoken,retweet confirmation,30
Vitallliy100,retweet confirmation,30
lunkin2910,retweet confirmation,30
lunkins1909,retweet confirmation,30
quas1986,retweet confirmation,30
aoleng27685445,retweet confirmation,30
V606458451,retweet confirmation,30
Avizzarr,retweet confirmation,30
Zainul10411162,retweet confirmation,30
dron88091,retweet deny,0
CrazyClock105,retweet confirmation,30
PinkFoxic,retweet confirmation,30
mitinvla,retweet deny,0
makkosh_tm,retweet confirmation,30
Kissnoone,retweet confirmation,30
idol_fes,retweet deny,0
idol_fes,retweet deny,0
harrygh20,retweet confirmation,30
SuwantaTata,retweet confirmation,30
AKPEKIAYEBAESIN,retweet confirmation,30
986855260248420352?s=20,retweet deny,0
Yokopranimbo3,retweet deny,0
9.74482E+17,retweet deny,0
DanataRober,retweet confirmation,30
9.74482E+17,retweet deny,0
adielsetiawan1,retweet confirmation,30
cryptodiamond03,retweet deny,0
crypto_ted,retweet confirmation,30
njoku_chidima,retweet confirmation,30
jamesndungu,retweet confirmation,30
9.74482E+17,retweet deny,0
ATertyichnyiy,retweet confirmation,30
MuhamadDikri_1,retweet deny,0
YuriLapunov,retweet deny,0
quoting_lives,retweet deny,0
rpisini77,retweet deny,0
Anggel74258155,retweet deny,0
Izenk10,retweet deny,0
DavanishFauzi,retweet confirmation,30
dndyrw,retweet deny,0
annmon_a,retweet confirmation,30
Huym1992?s=07,retweet deny,0
eugene_korn,retweet deny,0
Marianaled25,retweet deny,0
DavanishFauzi,retweet confirmation,30
theIIouvre,retweet confirmation,30
blinonecom,retweet confirmation,30
Crypto_Pack,retweet confirmation,30
sonyab4574tg,retweet confirmation,30
jmm77585,retweet confirmation,30
Sefania_19,retweet confirmation,30
jponline4u,retweet confirmation,30
monojet1,retweet confirmation,30
adielsetiawan1,retweet confirmation,30
sonyab4574tg,retweet confirmation,30
syaza_jasmine77,retweet deny,0
Sefania_19,retweet confirmation,30
MocDaiLam11,retweet confirmation,30
burovik99,retweet deny,0
HoldYourColors,retweet confirmation,30
a8sd765kt,retweet deny,0
GravityUmbrella,retweet confirmation,30
hindun00987,retweet deny,0
AirdropBountyC2  ,retweet deny,0
GravityUmbrella,retweet confirmation,30
AirdropBountyC2,retweet deny,0
