ｄポイントクラブ,NTT DOCOMO
フリマアプリ「メルカリ」オークションよりかんたん,Mercari
Amazon Shopping,Amazon
楽天市場 いつでもポイント+1倍,Rakuten
ラクマ（旧フリル） - 満足度No.1 楽天のフリマアプリ,Rakuten
ヤフオク! -ネットオークション、フリマアプリ スマホでかんたんショッピング,Yahoo Japan
Yahoo!ショッピング-アプリでお得で便利にお買い物,Yahoo Japan
地元でゆずりあい　ジモティー　掲載料0円手数料0円！無料で、ラクに、すぐに処分できる掲示板,Jimoty
ファッション通販 ZOZOTOWN,ZOZO Inc.
ヤマダ電機　ケイタイde安心,Nihon Unisys
電子マネー「nanaco」,Seven Card Service
Wish - Shopping Made Fun,ContextLogic
Qoo10-今日のコスパを掘り出そう!いつでもお得にお買い物,eBay Japan G.K
ノジマ,Nojima
Wowma! Wow!なイベント毎日開催! 通販ショッピングアプリ,KDDI Commerce Forward
楽天Edy：ポイントがドンドン貯まる便利でお得な電子マネー,Rakuten
minne - ハンドメイドマーケットアプリ,GMO Pepabo
ファッション通販ショッピングSHOPLIST-ショップリスト,CROOZ
ハンドメイドマーケットアプリ - Creema（クリーマ）,Creema
亚马逊 HD,Amazon
レシートがお金にかわるアプリCODE,リサーチ・アンド・イノベーション
靴＆ファッション通販 - LOCONDO.jp (ロコンド),LOCONDO
ビックカメラ,BICCAMERA
洋服の青山アプリ,AOYAMA TRADING
モバオク　手数料無料の簡単オークションアプリ・フリマアプリ,Mobaoku
[.st],Adastria
BUYMA(バイマ) - 海外ファッション通販アプリ 日本語であんしん取引 保証も充実,ENIGMO
ヨドバシ,YODOBASHI CAMERA
BASE（ベイス）- 60万店舗から探せる通販・ショッピングアプリ　ハンドメイドやベビー用品も,BASE Inc
WAON,AEON
マルチ残高リーダFree /Suicaやnanacoなど対応,Shekeen
JRE POINT アプリ - JR東日本の共通ポイント,East Japan Railway Company
洋服レンタル「メチャカリ」全て新品 今すぐ1ヶ月無料体験,STRIPE INTERNATIONAL
公式コメリドットコム,Bit-A Co.Ltd.
條碼掃描器,ZXing Team
iDアプリ （MVNO/SIMロックフリー端末版）,NTT DOCOMO
Amazon Prime Now,Amazon
価格.com,Kakaku.com
サイクルベースあさひの自転車アプリ,ASAHI CO.LTD.
サンプル百貨店-商品をお得に試せるちょっプル,All About Life Marketing Inc.
パンパース：すくすくポイントで、赤ちゃんとママパパへのギフトをもらおう！,Pampers by P&G
西友 - SEIYU -,SEIYU
Groupon,Groupon
ハンズクラブアプリ,Tokyu Hands
トイザらス・ベビーザらス アプリ,Toys "R" Us
オムニ7アプリ,Seven & I Holdings
ROOM　すきなモノが見つかる楽天のショッピングアプリ,Rakuten
割引計算電卓,あぷりカンパニー。
Nike SNKRS,Nike
tutuanna (チュチュアンナ) 公式アプリ,TuTuanna
ポンパレモール リクルートの通販 いつでもポイント3％以上！,Recruit Holdings
AliExpress - Smarter Shopping Better Living,Alibaba
ロハコ - ショッピングアプリ　日用品通販LOHACO,ASKUL Corporation
くらしのマーケット,minma Inc.
ブランド品のフリマアプリ「KANTE（カンテ）」,Komehyo Co. Ltd
Amazon Assistant,Amazon
ディズニーストアクラブ,Disney
BOOTH―同人誌、グッズのショッピングアプリ,pixiv
IKEA Store,IKEA
マザウェイズ公式アプリ,motherways Co. Ltd.
オタマート - オタクグッズに最適なアニメのフリマアプリ,A Inc.
最安全的免费 QRCode 阅读器,Application4u
ココナラ(coconala) - 得意を売り買い スキルのフリマ,coconala inc.
Tahoe 免費 QR Code 掃描器,Tahoe Digital LTD.
Right-on ライトオン公式アプリ,Right-on
ローソンフレッシュピック - 野菜やお肉が今日揃う,Lawson Inc
许多卡 Stocard - 会员卡,Stocard
事業者向け通販【モノタロウ】 - 現場で使う消耗品をアプリで注文！,MonotaRO Co.Ltd
POCKET PARCO お部屋で、電車で、カフェで、好きなものが見つかる、買える。,PARCO
トリンプ☆下着メーカーTriumphの公式アプリ☆,トリンプ・インターナショナル・ジャパン株式会社
QUICPay,JCB
iHerb,iHerb
人気バッグ！サマンサ公式アプリ！,Samantha Thavasa Japan Limited
Banggood - Easy Online Shopping,Banggood
简单快捷的计算折扣小工具。,DEEBEE
WEGO公式アプリ,WEGO Co.Ltd.
Qoo10ショッピング for Tablet,eBay Japan G.K
Design Tshirts Store graniph,Design Tshirts Store graniph
コープこうべアプリ,生活協同組合コープこうべ
ハニーズアプリ,HONEYS. Co. Ltd.
Daraz Online Shopping App,Daraz
ニッセン-買い物アプリ-カタログ通販でレディースファッション・コスメ・家具・インテリアをショッピング,Nissen
コジマ,コジマ公式アプリ
ドスパラ - チェックインポイントや割引クーポンがもらえる！,株式会社サードウェーブ
イオン九州公式アプリ,イオン九州株式会社
通販カタログ「フェリシモ」の通販・ショッピングアプリ。インテリアやキッチン用品まで扱う人気通販アプリ,FELISSIMO
チケット流通センター 安心安全 かんたんチケット売買,Wavedash
ジャパネットたかた,JAPANET TAKATA Co.Ltd.
SHEL'TTER PASS （シェルターパス）,Baroque Japan
JAVA members club レディースファッション,ジャヴァコーポレーション
郵便局のネットショップ,Japan Post
伊勢丹STOREアプリ,Isetan
FANCLメンバーズ,ＦＡＮＣＬ
THE SUIT COMPANY & UNIVERSAL+,AOYAMA TRADING
SAC'S BAR（サックスバー）公式アプリ,TOKYO DERICA CO.LTD.
楽天市場&ヤフーショッピング同時検索,RENAVE INC.
楽天ブックス-本・漫画・DVD・CDの通販アプリ,Rakuten
BAYCREW'S,BAYCREW'S CO.LTD.
OPA VIVRE FORUS,OPA CO.LTD.
Tabioアプリ,Tabio
