Shopee: No.1 Belanja Online,SHOPEE
Tokopedia - Aplikasi Pilihan Pengguna 2018,Tokopedia
Lazada - Online Shopping & Deals,Lazada
Bukalapak - Jual Beli Online,PT. Bukalapak.com
OLX - Jual Beli Online,OLX
JD.ID你的网上购物商城,JD.com
Zilingo Shopping,Zilingo
Akulaku-Kredit Cicil Pinjam Belanja,Akulaku
Blibli.com Belanja Online Shop ala Mall,Blibli
Shopintar - Cicilan Online Tanpa Kartu Kredit,SHOPINTAR
Sale Stock - Toko Baju Wanita Online,Sale Stock
Kudo: Agen Pulsa & PPOB Bayar Tagihan Online Murah,Kudo
Mitra Bukalapak,PT. Bukalapak.com
ZALORA時裝購物平台,Zalora
Alibaba.com - Leading online B2B Trade Marketplace,Alibaba
WOWBID,PT Wowbid Perintis Nusantara
MATAHARI App,Matahari Department Store
Mitra Tokopedia,Tokopedia
Ponta Indonesia,Global Loyalty Indonesia
Flash Go - Cashback langsung untuk pengguna baru,Kredit Mall
Newchic-您的在线折扣时尚购物商城,Newchic
Carouse﻿ll 旋转拍卖 - 你拍我买,Carousell
DMall,PT. TallGeek
GoodDeal,Ninras Group
Vova - 輕鬆獲取贈品,VOVA
AliExpress - Smarter Shopping Better Living,Alibaba
ShopBack - 網購即享現金回饋｜Shopfest 購物節 - 隨時享受網購年中慶/週年慶折扣,ShopBack
Mobil123 Mobil Baru dan Bekas,iCar Asia
Ayopop - Pulsa PLN BPJS dengan Garansi Termurah,Ayopop.com
Toko Online Indo,This Year Developer
Klikindomaret - belanja online,Indomarco Prismatama
Voucher Game Online Murah,GJM Media
Seller Tokopedia - Jual Online,Tokopedia
GearBest Online Shopping,GEARBEST(HONGKONG)LIMITED
Banggood - Easy Online Shopping,Banggood
Quick-Transaction,PT grtech
IKEA Store,IKEA
ZAFUL - My Fashion Story,Zaful
小米商城,Xiaomi
Wish - Shopping Made Fun,ContextLogic
Laku6 Trade In,Laku6
ADIDAS,Adidas
BoostPlay - Fun Shopping Experience,Axiata Digital
MyPoin,Indomarco Prismatama
MatahariMall.com - Beli Aja,Matahari Department Store
條碼掃描器,ZXing Team
二维码条码扫描器,AndroidRock
Prioriti,Prioriti Pte Ltd
Super Cash,Caluyo Monaghan
Holiday Shopping Deals: Buy Sell & Save with eBay,eBay
Amazon Shopping,Amazon
KALBE Store,Karya Hasta Dinamika
MNC Shop - Home Shopping Terpercaya,MNC GS HOMESHOPPING
Kredit HP - Ngebet Kredit Laku6,Laku6
Suplier Busana - Online Shop,Jobs Studio
TaniHub - Belanja & Dukung Petani Kita,PT Tani Hub Indonesia
Watsons ID,Watson
Snapcart – Snap Receipts Get Cashbacks,Snapcart
Jollychic-網上購物商城，打造全新生活方式,JOLLYCHIC EC LIMITED
iLOTTE,Indo Lotte Makmur
BLANJA - Jual Beli Online,Metraplasa
Berrybenka,Berrybenka
elevenia – yang kamu cari ada,XL Planet
SEPHORA絲芙蘭 - Beauty Shopping,Sephora
Gramedia,Gramedia Digital Nusantara
Optik Melawai,optik melawai
Sayurbox,Kreasi Nostra Mandiri
Style Theory: Rent Wear Swap,StyleTheory
Lakupon,PT Online Pertama
Mobayar,PT Maju Lintas Mandiri
Mentimun,Dinamika Mitra Sukses Makmur
Ramayana Member Card,Ramayana
Agen Pulsa Termurah,Sagus's Development
Jakmall - Belanja Online Termurah,Jakmall
Paket Kuota Murah,Paket Kuota App
Jakartanotebook.com,Jakartanotebook.com
Pomelo Fashion,Pomelo Fashion
QuuBe,GIOSIS LIMITED
VIP Plaza: Fashion Online Shop - 100% Original,VIP Plaza
Pasarwarga - Cicilan Belanja Online,Pasarwarga
KASKUS Jual Beli,Kaskus Networks
Bisatopup - PPOB Online Murah,Amanah Techno Labs
TokoTalk - Solusi Jualan Online,CodeBrick
BUMP - Buy & Sell Streetwear,S94 Inc.
Akulaku Merchant,Akulaku
Boost Penjual,Axiata Digital
Agen Pulsa dan Kuota Murah - GjmPulsa,GJM Media
Tiendeo - Catálogos y ofertas,Tiendeo
Kioser - Semua Bisa Jualan,PT Kioser Teknologi Indonesia
Qoo10,Giosis
Optik Seis,Optik Seis
OkeShop,Laku6
Apps sale - apps gone free - apps promo codes,Neelam Bhanushali
LEJEL Home Shopping,LEJEL
Alfa Mikro - Alfamart,Alfamart
RUMAH KOSMETIK,CV.A&H GROUP
B&H Photo Video Pro Audio,B&H Photo
DuitinAja,Duitinaja
Swalayan Kendari Blanja,Kendari Blanja
Paket Data Murah,Sagus's Development
