メルカリ- かんたん購入・出品 フリマ通販アプリ,Mercari
Amazon ショッピングアプリ,Amazon
ラクマ（旧フリル）- 楽天のフリマアプリ,Rakuten
楽天市場,Rakuten
ファッション通販 ZOZOTOWN,Start Today
ヤフオク!,Yahoo Japan
dポイントクラブ,NTT DOCOMO
UNIQLOアプリ-ユニクロアプリ,UNIQLO
Yahoo!ショッピング,Yahoo Japan
Qoo10-今日のコスパを掘り出そう!いつでもお得にお買い物,Giosis
Wish - Shopping Made Fun,ContextLogic
地元の掲示板「ジモティー」,Jimoty
时尚搭配 WEAR,Start Today
BUYMA(バイマ) - 海外ファッション通販アプリ,ENIGMO
SHOPLIST(ショップリスト)-ファッション通販,CROOZ
マツモトキヨシ公式,Matsumotokiyoshi Holdings
MUJI passport,Ryohin Keikaku
Creema（クリーマ）- ハンドメイドマーケットプレイス,Creema
[.st],Adastria Co., Ltd.
ZARA,Inditex
minne,GMO Pepabo
BASE（ベイス）- 60万店舗から探せる通販・ショッピング,BASE, Inc
Wowma! ショッピング Wow!なイベント毎日開催!,KDDI Commerce Forward
バイヤー厳選お買い物アプリBONNE（ボンヌ）,JustSystems
H&M App,H&M
靴＆ファッション通販 - LOCONDO.jp (ロコンド),LOCONDO
楽天チェック,Spotlight Inc
Shufoo!（シュフー）,TOPPAN PRINTING
Nike SNKRS,Nike
ファッションレンタル - メチャカリ（MECHAKARI）,STRIPE INTERNATIONAL
ビックカメラ,BICCAMERA
レシートがお金にかわるアプリCODE(コード),Research and Innovation Co.,Ltd.
キナリノ,Kakaku.com
ヨドバシ,YODOBASHI CAMERA
许多卡 Stocard - 会员卡,Stocard
IKEA Store,IKEA
tutuanna (チュチュアンナ) 公式アプリ,TuTuanna
モバオク！-運営実績14年のオークション＆フリマアプリ,Mobaoku
ROOM　すきなモノが見つかる楽天のショッピングアプリ！,Rakuten
パンパース：赤ちゃんとママパパへのギフトをもらおう,Pampers by P&G
doreusweファッション通販,Guangzhou Treader Computer Technology Services Co., Ltd.
ポンパレモール,Recruit Holdings
トイザらス・ベビーザらス,Toys "R" Us
JRE POINT アプリ - JR東日本の共通ポイント,East Japan Railway Company
Apple Store,Apple
StyleShare,StyleShare
au WALLET Market,KDDI
オムニ7アプリ,Seven & I Holdings
三井ショッピングパークアプリ,Mitsui Fudosan Retail
西友 - SEIYU -,Seiyu GK
つけ麺専門店 三田製麺所,MP Kitchen Co., Ltd.
Groupon,Groupon
中古車検索グーネット,Proto Corporation
LOHACO（ロハコ）-日用品・ショッピングアプリ,ASKUL Corporation
fifth(フィフス),CODESHARE.Ltd.
Forever 21,Forever 21
XZ(Closet),STANDING OVATION Inc.
サンドラッググループ公式アプリ,SUNDRUG CO., LTD.
Supreme,Supreme New York
VPN cat master - express web proxy,Stone Studio
オタマート - アニメグッズが集まるフリマアプリ,A Inc.
メルカリ カウル - 本・CD・DVD・ゲームのフリマアプリ,Mercari
WEGO公式アプリ,WEGO Co., Ltd.
BOOTH―同人誌、グッズのマーケットプレイス,pixiv
BAYCREW'S,BAYCREW'S CO., LTD.
JALカードアプリ,JAL Card
トリンプ,Triumph International (Japan) Ltd.
価格.com - 製品を比較できるショッピング支援アプリ,Kakaku.com
チケット流通センター 安心安全 チケット売買フリマアプリ,Wavedash
西松屋アプリ,Nishimatsuya Chain
バッグ使い放題ラクサス - ブランドバッグレンタル,ES Corporation
サイクルベースあさひ,株式会社あさひ
ココナラ 得意を売り買い スキルのフリマ coconala,Coconala
くらしのマーケット,みんなのマーケット株式会社
AliExpress Shopping App,Alibaba
楽天ブックス,Rakuten
ファッション通販 ギルト,Gilt Groupe
ワコールウェブストア公式アプリ,Wacoal Corp.
POCKET PARCO,PARCO
人気バッグ！サマンサ公式アプリ！,Samantha Thavasa Japan Limited
ローソンフレッシュピック - ローソンの生鮮スーパー,Lawson Inc
トレファク,Treasure Factory Co.,LTD.
PEACH JOHN　ピーチジョン,PEACH JOHN CO.,LTD.
サンプル百貨店 - 商品をお得に試せるちょっプル,All About Life Marketing, Inc
WORLD（ワールド）,World Co., Ltd.
公式コメリドットコム,Bit-A Co.,Ltd.
フェリシモ-買い物・ショッピングアプリ,FELISSIMO CORPORATION
HOTPING_JAPAN,SSLKH co.,Ltd
ベルメゾンショッピングアプリ,SENSHUKAI CO.,LTD
ザ・ボディショップ 公式アプリ,The Body Shop
YOOX,YOOX
Right-on ライトオン公式アプリ,Right-on
Tabioアプリ,Tabio
LUXA - ルクサ,LUXA
セカンドストリート・ジャンブルストア｜古着ファッションコーデ,GEO Holdings
CAN Chum Card[キャンチャムカード]公式アプリ,CAN Co.,Ltd.
Komerco - コメルコ - by クックパッド,COOKPAD
ニッセン-オシャレな洋服から家具・雑貨まで揃うカタログ通販,Nissen
ファッション通販 - STRIPE CLUB,STRIPE INTERNATIONAL
SHOPPIES(ショッピーズ) - フリマアプリ,Stardust Communications
