1,Lazada Year End Sale 10-12 Dec,Lazada
2,Shopee PH 12.12 Christmas Sale,SHOPEE
3,ZAFUL - My Fashion Story,ZAFUL
4,ZALORA - Fashion Shopping,Zalora
5,UNIQLO PH,UNIQLO
6,BeautyMNL - Shop Beauty,Taste Central Curators Inc
7,Carousell,Carousell
8,Watsons Philippines,Watson
9,OLX Philippines Buy and Sell,OLX
10,MetroDeal,MetroDeal
11,Newchic - Fashion Shopping,Newchic
12,Amazon - Shopping made easy,Amazon
13,Sephora - Beauty Shopping,Sephora
14,Lazada Seller Center,Lazada
15,Forever 21,Forever 21
16,GOAT – Shop Sneakers,GOAT
17,Rosegal,Rosegal
18,H&M App,H&M
19,Snapcart: Cashback for Receipt,Snapcart
20,AliExpress Shopping App,Alibaba
21,eBay: Buy Sell & Save,eBay
22,ALTHEA: Best of Korean Beauty,Althea.kr
23,Wish - Shopping Made Fun,ContextLogic
24,Akulaku,Akulaku
25,DHgate-Online Wholesale Stores,DHgate.com
26,Fonts Keyboard Art Fonts Cool Font for Chat,Van Manh Nguyen
27,Apple Store,Apple
28,Souq.com ???.???,Souq.com
29,Vova - Get Free Cellphone,VOVA
30,Sun & Sand Sports,Sun & Sand Sports LLC
31,ZARA,Inditex
32,MetroMart: #1 Grocery Delivery,METROMART TECHNOLOGIES INC.
33,Jollychic- ???? ???,JOLLYCHIC
34,Namshi Fashion - ???? ???????,Namshi
35,Yoins - Fashion Clothing,Yoins
36,******,******
37,Club Factory-Unbeaten Price,Jiayun
38,AWOK.com,AWOK
39,MANGO - 在线时尚,Mango
40,瘦身相机 - 天天美容瘦脸P图神器,Han Feng
41,SHEIN-Fashion Shopping Online,Shein
42,TBSP | T-Shirt Design & Print,US Appers
43,combyne - your perfect Outfit,combyne GmbH
44,Farfetch: New Season Fashion,Farfetch
45,Bershka,Inditex
46,Etsy – Shop Creative,Etsy
47,CHARIS - Celeb's Secret,MAD Square
48,Dressph,Beijing Le Qin Rui Heng Company Limited
49,淘宝-双十二购物，移动生活社区,Taobao
50,YesStyle,YESSTYLE.COM LIMITED
51,SIVVI Online Shopping ????,SIVVI LLC
52,Centrepoint Online - ?????????,Landmark Group
53,Banggood Easy Online Shopping,Banggood
54,CHARLES & KEITH,CharlesKeith.com
55,Deals Online,Tofrex Pte. Ltd.
56,Avon Mobile,Avon
57,Voice Changer Sound Recorder,MULIAN LI
58,MarkaVIP- ??????? ????? ?????,JOLLYCHIC
59,FunMart Shopping Mall - 在线购物商城,FunMart eTrading Network Technology Co Ltd
60,Elfster Secret Santa Generator,Elfster Inc.
61,Fetchr - Pickup & Delivery,MENA 360 DWC-LLC
62,Fashion Nova,Fashion Nova
63,Fordeal - ??????: ??? ????????,FORDEAL
64,noon shopping - ??? ??????,Noon E commerce
65,ASOS,ASOS Mobile
66,Acienda Rewards,Cathay Land Inc.
67,******,******
68,Snaptee - 设计．印製个性化T-Shirt,Snaptee
69,Magical Home Plans Idea | Free Floor Plan Catalog,HQWalls
70,YoShop Online Shopping Store,YOSHOP COM LIMITED
71,Stradivarius - Fashion Store,Inditex
72,CloudMall,Imaygou Technology Ltd
73,MAF Carrefour,MAF Carrefour
74,Pomelo Fashion,Pomelo Fashion
75,FeaturePoints,TapGen Corp.
76,Gmarket Global (ENG/中文/日本語),GMARKET
77,ROMWE - Women's Fashion,Shein
78,Design T-Shirt,Cloud Design
79,?? (Coupang),Coupang
80,Lookbook | lookbook.nu,Spacedock Inc.
81,Copdate,Copdate
82,doreusweファッション通販,Guangzhou Treader Computer Technology Services Co. Ltd.
83,美发相机 - 美颜美妆P图发型沙龙天天都来秀秀手机美图,Liming Zhang
84,Urban Outfitters,Urban Outfitters
85,Game Controller Apps,Robert Beierheimer
86,Expee,XPEE INC.
87,壁纸 高清 - Wallpapers & Backgrounds,Skol
88,Shopwise Wise App,TCC Global N.V.
89,Cobone - Deals & Coupons,ME Digital Group
90,Drama News - Dramania & Korean Drama News,Nguyen Hoang
91,Brands For Less,Brands For Less
92,Sendo: 12.12 Siêu Mua S?m,Sendo
93,VOGACLOSET ???? ??????,VogaCloset Limited
94,6thStreet.com,6thStreet.com
95,T-Shirt Design Studio,Son Phi
96,END.,Ashworth and Parker
97,Sulit Philippines Buy and Sell,Anton Sheker
98,Walter Mart Supermarket,WALTERMART SUPERMARKET INC.
99,The Luxury Closet - Buy & Sell,The Luxury Closet
100,M&S,Marks & Spencer Group
