Item name,Price,Review num,Item url
Levi's Men's 505 Regular Fit Jean,$35.35 - $69.33,12113,https://www.amazon.com/Levis-Mens-Regular-Stonewash-34x32/dp/B0018OKNWM/ref=sr_1_1/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-1&nodeID=1045564&psd=1
Wrangler Authentics Men's Classic 5-Pocket Regular Fit Jean,$16.77 - $85.00,8036,https://www.amazon.com/Wrangler-Authentics-Classic-5-Pocket-Stonewash/dp/B00XKXNG8M/ref=sr_1_2/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-2&nodeID=1045564&psd=1
Levi's Men's 501 Original-Fit Jean,$34.99 - $79.50,10497,https://www.amazon.com/Levis-Mens-Original-Stonewash-34x32/dp/B0018OOVPC/ref=sr_1_3/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-3&nodeID=1045564&psd=1
Levi's Men's 511 Slim Fit Jean,$34.75 - $69.50,6913,https://www.amazon.com/Levis-Mens-Slim-Jean-Black/dp/B008YNIFJI/ref=sr_1_4/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-4&nodeID=1045564&psd=1
Wrangler Authentics Men's Relaxed Fit Jean,$18.00 - $28.99,3849,https://www.amazon.com/Wrangler-Authentics-Classic-Relaxed-Stonewash/dp/B00XKXVDC8/ref=sr_1_5/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-5&nodeID=1045564&psd=1
Wrangler Men's Classic Authentics Relaxed Fit Jean,$19.99 ,182,https://www.amazon.com/Wrangler-Authentics-Classic-Relaxed-Stonewash/dp/B00XKXVM06/ref=sr_1_6/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-6&nodeID=1045564&psd=1
Levi's Men's 550 Relaxed-fit Jean,$21.86 - $69.50,6765,https://www.amazon.com/Levis-Mens-Relaxed-fit-Stonewash-38X32/dp/B0018OMIZW/ref=sr_1_7/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-7&nodeID=1045564&psd=1
Levi's Men's 541 Athletic Taper Fit Jean,$37.99 - $79.50,3076,https://www.amazon.com/Levis-Athletic-Straight-Husker-Stretch-36x32/dp/B071WC791T/ref=sr_1_8/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-8&nodeID=1045564&psd=1
Levi's Men's 559 Relaxed Straight Fit Jean,$38.86 - $69.50,4731,https://www.amazon.com/Levis-Mens-Relaxed-Straight-Jean/dp/B0018OREG0/ref=sr_1_9/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-9&nodeID=1045564&psd=1
Levi's Men's 514 Straight Fit Stretch Jean,$29.75 - $63.55,4073,https://www.amazon.com/Levis-Straight-Stretch-Tumbled-Rigid/dp/B0018ORZ14/ref=sr_1_10/146-0060083-5773348?s=apparel&ie=UTF8&qid=1548232106&sr=1-10&nodeID=1045564&psd=1
