大类,商品,印尼盾IDR/RP,人民币CNY,是否本土,一周以上,一周以内,次日,货到付款,主打信息,链接,,
配饰,女士手表,37500,18.75,是,\,3,10,支持,大品牌，大促销，大面子,https://www.lazada.co.id/products/jam-tangan-led-jam-tangan-pria-dan-wanita-strap-karet-apple_white-steel-i142384033-s155013426.html?spm=a2o4j.searchlist.list.1.12d71811Qgr05N&search=1,,
女士时尚,穆斯林Mukena,57270,28.64,是,\,3,\,支持,送给妻子第二好的礼物,https://www.lazada.co.id/products/mukena-bali-mukena-batik-mukena-dewasa-bahan-rayon-motif-acak-campur-mpt001-batik-alhadi-i126472086-s461766646.html?spm=a2o4j.searchlist.list.1.42352de8ElAh5s&search=1,,
配饰,太阳镜,122000,61.00,是,\,3,\,支持,,https://www.lazada.co.id/products/jvgood-magnetic-sunglasses-klip-pada-kacamata-unisex-polarized-lensa-retro-bingkai-dengan-set-5-lensa-running-driving-fishing-golf-baseball-glasses-i167787756-s245349574.html?spm=a2o4j.searchlistcategory.list.6.6c2e7301wvkIZb&search=1,,
男士时尚,男士钱包,33222,16.61,是,\,3,\,支持,,https://www.lazada.co.id/products/jfr-fashion-dompet-pria-bahan-kulit-canvas-jp07-i189581018-s231279410.html?spm=a2o4j.searchlistcategory.list.1.210155dfEC19aq&search=1,,
配饰,Quiksilver Outdoorwatch / Rip-curl海洋冲浪 - 运动手表/男士休闲 - 真皮表带/皮革表带,107000,53.50,是,\,3,\,支持,,https://www.lazada.co.id/products/quiksilver-outdoorwatch-rip-curl-ocean-surfing-jam-tangan-sport-kasual-pria-genuine-leather-strap-tali-kulit-bonus-topi-ripquik-denim-trucker-hat-i171871310-s202732266.html?spm=a2o4j.searchlistcategory.list.65.dcfa47602Z7VKn&search=1,,
美妆,口红,3000,1.50,是,\,5,\,支持,,https://www.lazada.co.id/products/tidak-bisa-pilih-warna-motif-lipstick-hengfang-i401597492-s442142573.html?spm=a2o4j.searchlistcategory.list.29.520463ceSaDcbu&search=1,,
美妆,眼影,37525,18.7625,是,\,3,\,支持,,https://www.lazada.co.id/products/mesh-eyeshadow-dompet-big-size-palette-make-up-blusher-powder-lipstick-eyebrow-all-in-one-1-pcs-i104688587-s105396995.html?spm=a2o4j.searchlistcategory.bestshown_1.1.7a2e136eSXzBsw&search=1,,
服装,比基尼,26000,13,否,3,\,\,支持,,https://www.lazada.co.id/products/bikinis-women-lady-mesh-swimsuit-bathing-suits-beach-swimwear-i360251540-s378001172.html?spm=a2o4j.searchlist.list.7.45937d44AJw1Tw&search=1,,
配饰,眼影,40000,20,是,\,3,10,支持,,https://www.lazada.co.id/products/jam-tangan-quartz-1-pair-pria-dan-wanita-strap-kulit-pu-men-women-stainless-steel-leather-couple-watch-i7714227-s9815108.html?spm=a2o4j.searchlist.bestshown_1.12.35b4ee72WAqH1u&search=1,,
护肤,美白护理,18000,9,是,\,3,\,支持,,https://www.lazada.co.id/products/mesh-eyeshadow-dompet-big-size-palette-make-up-blusher-powder-lipstick-eyebrow-all-in-one-1-pcs-i104688587-s105396995.html?spm=a2o4j.searchlistcategory.bestshown_1.1.7a2e136eSXzBsw&search=1,,
手表配饰,女士珠宝 仿金,19900,9.95,是,\,3,\,支持,,https://www.lazada.co.id/products/gelang-xuping-perhiasan-wanita-menawan-xuping-gold-i341029440-s353189454.html?spm=a2o4j.searchlistcategory.list.15.778218a8BNkJVS&search=1,,
成人用品,情趣内衣,57000,28.50,否,3,\,\,支持,私房互动，从未如此兴奋,https://www.lazada.co.id/products/angel-wanita-seksi-bra-lingerie-pakaian-dalam-gaun-renda-g-string-seks-tawanan-mainan-i417155024-s468461389.html?spm=a2o4j.searchlist.list.3.61884ba51jWglS&search=1,,
女士时尚,女性内裤,22000,11,是,5,\,\,支持,,https://www.lazada.co.id/products/012premium-modal-race-pantycelana-dalamkolorcelana-inner-i406892173-s449573834.html?spm=a2o4j.searchlistcategory.list.17.242c5508onC77W&search=1,,
婴幼儿,婴儿尿布裤,9750,4.875,是,3,\,\,支持,,https://www.lazada.co.id/products/paket-isi-6-fluffy-popok-bayi-tipe-celana-m1-i418441753-s471162646.html?spm=a2o4j.searchlistcategory.list.1.6db17af5Z1EYZ9&search=1,,
美妆,香水,6000,3,是,5,\,\,支持,,https://www.lazada.co.id/products/botol-casa-20ml-hello-kitty-i358058206-s374757542.html?spm=a2o4j.searchlistcategory.list.15.253a41cd7pLvzI&search=1,,
家居,黏贴小灯,4410,2.205,是,\,3,\,支持,,https://www.lazada.co.id/products/toko49-stick-touch-lamp-stick-and-click-lampu-lemari-i141424380-s152470590.html?spm=a2o4j.home.flashSale.2.466f4ceeKTm2hv&search=1&mp=1,,
婴幼儿,儿童玩具,34500,17.25,是,\,3,\,支持,,https://www.lazada.co.id/products/mainan-pasir-edukatif-anak-pasir-ajaib-model-play-magic-sand-ice-cream-i358892613-s375963127.html?spm=a2o4j.searchlist.bestshown_1.3.56663df4pi6nfI&search=1,,
女士时尚,便宜挎包,9370,4.685,是,\,7,\,支持,,https://www.lazada.co.id/products/karina-wardrobe-aluna-sling-bag-tas-wanita-tas-murah-tas-ransel-sling-bag-tas-bahu-wanita-tas-fashion-tas-cewek-tas-wanita-murah-tas-cantik-tas-branded-tas-kerja-tas-kuliah-tas-selempang-tas-slempang-wanita-slempang-i398395811-s449435701.html?spm=a2o4j.searchlistcategory.list.77.4bca5fd7E7tsPA&search=1,,
护肤,胶原蛋白眼膜,3000,1.5,是,\,3,\,支持,,https://www.lazada.co.id/products/collagen-crystal-eye-mask-masker-mata-1-pcs-i396851898-s435408933.html?spm=a2o4j.searchlistcategory.list.11.3fff648b7vWI9a&search=1,,
3C,平板电脑,600000,300,否,0,\,\,支持,,https://www.lazada.co.id/products/free-gift-7-inch-quad-core-hd-tablet-pc-android-44-1gb16gb-kitkat-dual-camera-bluetooth-bt-wifi-q88h-us-plug-i392422502-s429583270.html?spm=a2o4j.searchlist.list.20.7d9c3061e5c4UH&search=1,,
3C,蓝牙耳机,21000,10.5,是,\,3,\,支持,,https://www.lazada.co.id/products/xiaomi-original-headset-bluetooth-41-earphone-build-in-mic-handfree-i170124489-s199915361.html?spm=a2o4j.searchlist.list.7.673259f48YtVQX&search=1,,
