category,class_name,class_url
MenShoes,Boots,Boots-cat.35.1033
MenShoes,CasualShoes,Sepatu-Kasual-cat.35.1027
MenShoes,Sandals,Sandal-cat.35.1019
MenShoes,Sneakers,Sneakers-cat.35.1013
MenShoes,Formal,Sepatu-Formal-cat.35.1031
Watches,MenWatches,Jam-Tangan-Pria-cat.37.12452
Watches,WomenWatches,Jam-Tangan-Wanita-cat.37.12443
Watches,CoupleWatches,Jam-Tangan-Couple-cat.37.12461
Menbags,Backpacks,Tas-Punggung-cat.10217.10222
Menbags,ToteBags,Tas-Tote-cat.10217.12621
Menbags,MessengeBags,Tas-Messenger-cat.10217.18222
Menbags,SlingBags,Tas-Selempang-cat.10217.18224
Menbags,WaistBags,Tas-Pinggang-cat.10217.12631
Menbags,LaptopBags,Tas-Laptop-cat.10217.10223
Menbags,Shoulder Bags,Tas-Bahu-cat.10217.10224
Menbags,ClutchBags,Clutch-cat.10217.18227
Menbags,SportsBags,Tas-Olahraga-cat.10217.12626
Menbags,MenWallet,Dompet-Pria-cat.10217.10219
Fashion,HairAccessories,Aksesoris-Rambut-cat.38.1145
Fashion,Hats,Topi-cat.38.1147
Fashion,Glasses,Kacamata-cat.38.1143
Fashion,ContactLenses,Lensa-Kontak-cat.38.14983
Fashion,Earrings,Anting-cat.38.1141
Fashion,Necklaces,Kalung-cat.38.1133
Fashion,Rings,Cincin-cat.38.1139
Fashion,Bracelets,Gelang-cat.38.1137
Fashion,Belts,Ikat-Pinggang-cat.38.1149
Fashion,Scarf,Syal-Scarf-cat.38.12440
Fashion,Gloves,Sarung-Tangan-cat.38.12446
Fashion,PreciousMetals,Logam-Mulia-cat.38.16704
Fashion,AccessoriesSets,Aksesoris-Set-Perhiasan-cat.38.17873
