Platform,Category,Item Name,Brand,List Price,Price,Specification,Warranty Service,Stock,Warning Code,Shipping Fee,Item Url
Myntra,Home:Accessories:Unisex Accessories:Sunglasses:Pepe Jeans Sunglasses,Pepe Jeans Unisex Mirrored Wayfarer Sunglasses PJ7310,Pepe Jeans,Rs. 1999,Rs. 899,L,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/sunglasses/pepe-jeans/pepe-jeans-unisex-mirrored-wayfarer-sunglasses-pj7310/2266920/buy
Myntra,Home:Accessories:Unisex Accessories:Sunglasses:Pepe Jeans Sunglasses,Pepe Jeans Unisex Square Sunglasses PJ7309,Pepe Jeans,Rs. 2299,Rs. 1034,M,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/sunglasses/pepe-jeans/pepe-jeans-unisex-square-sunglasses-pj7309/2266927/buy
Myntra,Home:Accessories:Unisex Accessories:Sunglasses:Pepe Jeans Sunglasses,Pepe Jeans Unisex Square Sunglasses PJ7307,Pepe Jeans,Rs. 2399,Rs. 1007,L,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/sunglasses/pepe-jeans/pepe-jeans-unisex-square-sunglasses-pj7307/2266923/buy
Myntra,Home:Accessories:Unisex Accessories:Sunglasses:SWISS MILITARY Sunglasses,SWISS MILITARY Unisex Wayfarer Sunglasses,SWISS MILITARY,Rs. 3090,Rs. 1545,M,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/sunglasses/swiss-military/swiss-military-unisex-wayfarer-sunglasses/1444649/buy
Myntra,Home:Accessories:Unisex Accessories:Speakers:boAt Speakers,boAt Orange Black Stone 200 Wireless Portable Bluetooth Speakers,boAt,Rs. 2990,Rs. 1196,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/speakers/boat/boat-orange--black-stone-200-wireless-portable-bluetooth-speakers/2041935/buy
Myntra,Home:Accessories:Unisex Accessories:Speakers:Sound One Speakers,Sound One Black Boom Wireless Portable Bluetooth Speaker,Sound One,Rs. 2990,Rs. 1495,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/speakers/sound-one/sound-one-black-boom-wireless-portable-bluetooth-speaker/7082931/buy
Myntra,Home:Accessories:Unisex Accessories:Speakers:JBL Speakers,JBL Unisex Blue GO 2 Bluetooth Portable Speakers,JBL,Rs. 2999,Rs. 2279,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/speakers/jbl/jbl-unisex-blue-go-2-bluetooth-portable-speakers/7096296/buy
Myntra,Home:Accessories:Unisex Accessories:Speakers:Photron Speakers,Photron P10 Wireless 3W Portable Bluetooth Speaker,Photron,Rs. 1990,Rs. 1990,,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/speakers/photron/photron-p10-wireless-3w-portable-bluetooth-speaker/2041954/buy
Myntra,Home:Accessories:Unisex Accessories:Backpacks:F Gear Backpacks,F Gear Unisex Grey Ferrari Backpack,F Gear,Rs. 1500,Rs. 450,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/backpacks/f-gear/f-gear-unisex-grey-ferrari-backpack/1228080/buy
Myntra,Home:Accessories:Unisex Accessories:Backpacks:Roadster Backpacks,Roadster Unisex Navy Blue Brand Logo Backpack,Roadster,Rs. 999,Rs. 399,Onesize,100% ORIGINAL guarantee for all products at myntra.com;Return within 30days of receiving your order;Get free delivery for every order above Rs.1199,1000,10,15,https://www.myntra.com/backpacks/roadster/roadster-unisex-navy-blue-brand-logo-backpack/5414764/buy
