Platform,Mainclass,Subclass,Item Name,Item Url,Aftersale Service,Brand,Stock,Warning Code,Shipping Fee,Specification 1,Price,List Price,Specification2,Price,List Price,Specification3,Price,List Price,Specification4,Price,List Price,Specification5,Price,List Price,Specification6,Price,List Price,Specification7,Price,List Price,Specification8,Price,List Price,Specification9,Price,List Price,Specification10,Price,List Price,Specification11,Price,List Price
Shopee,Jam Tangan,Jam Tangan Pria,Jam Tangan Pria SKMEI S-Shock Dual Time 0993,https://shopee.co.id/Jam-Tangan-Pria-SKMEI-S-Shock-Dual-Time-0993-i.3118593.68780735,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,N/A,1000,10,15,Putih,Rp106.320,Rp132.900,Biru,Rp111.920,Rp139.900,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopee,Jam Tangan,Jam Tangan Pria,Cayman Jam Tangan Pria Korea Fashion Men Digital Watch SW020,https://shopee.co.id/Cayman-Jam-Tangan-Pria-Korea-Fashion-Men-Digital-Watch-SW020-i.27045712.919126663,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,Tidak Ada Merek,1000,10,15,Gold,Rp23.500,Rp59.000,Silver,Rp19.000,Rp59.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopee,Jam Tangan,Jam Tangan Pria,JAM TANGAN PRIA WWOOR Anti Air 50m Ultra Tipis Kasual Analog,https://shopee.co.id/JAM-TANGAN-PRIA-WWOOR-Anti-Air-50m-Ultra-Tipis-Kasual-Analog-i.50962010.858765390,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,Wwoor,1000,10,15,Hitam,Rp169.000,Rp198.000,Biru,Rp169.000,Rp198.000,Emas,Rp169.000,Rp198.000,Putih,Rp169.000,Rp198.000,,,,,,,,,,,,,,,,,,,,,
Shopee,Jam Tangan,Jam Tangan Pria,TURUN HARGA FREE BOX BATERAI JAM TANGAN PRIA GSHOCK DUALTIME GG1000 GK001 G-SHOCK JAM TANGAN MURAH,https://shopee.co.id/TURUN-HARGA-FREE-BOX-BATERAI-JAM-TANGAN-PRIA-GSHOCK-DUALTIME-GG1000-GK001-G-SHOCK-JAM-TANGAN-MURAH-i.3720074.52789239,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,Tidak Ada Merek,1000,10,15,gg 1000 list hitam,Rp72.000,Rp125.000,gg 1000 list putih,Rp72.000,Rp125.000,gg 1000 list merah,Rp72.000,Rp125.000,gg 1000 list gold,Rp72.000,Rp125.000,gg 1000 tali merah,Rp72.000,Rp72.000,,,,,,,,,,,,,,,,,,
Shopee,Jam Tangan,Jam Tangan Pria,Jam Tangan Pria SKMEI ORIGINAL SKMEI 1206 SKMEI,https://shopee.co.id/Jam-Tangan-Pria-SKMEI-ORIGINAL-SKMEI-1206-SKMEI-i.3118593.25519227,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,SKMEI,1000,10,15,Hitam,Rp56.000,Rp70.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopee,Jam Tangan,Jam Tangan Pria,Jam Tangan LED Layar Sentuh Untuk Pria dan Wanita,https://shopee.co.id/Jam-Tangan-LED-Layar-Sentuh-Untuk-Pria-dan-Wanita-i.10386134.74526182,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,N/A,1000,10,15,White,Rp65.000,Rp65.000,Black,Rp65.000,Rp65.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopee,Jam Tangan,Jam Tangan Pria,BOSCH Jam Tangan Pria Korea Fashion Casual Analog Date Chrono Men Women Stainless Steel Watch SW140,https://shopee.co.id/JAM-TANGAN-PRIA-ELEGAN-TALI-KULIT-RIPCURL-CRONO-VARIASI-TANGGAL-AKTIF-FASHION-PRIA-i.64522090.1308250957,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,Tidak Ada Merek,1000,10,15,N/A,Rp90.000,Rp110.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopee,Jam Tangan,Jam Tangan Pria,Jam QQ Jelly Angka,https://shopee.co.id/Jam-Q-Q-Jelly-Angka-i.6684120.71543080,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,Q&Q,1000,10,15,MERAH,Rp15.500,Rp37.000,BIRU TUA,Rp15.500,Rp37.000,PEACH,Rp15.500,Rp37.000,PUTIH BENING,Rp15.500,Rp37.000,PINK TUA,Rp15.500,Rp37.000,BIRU MUDA,Rp15.500,Rp37.000,HITAM,Rp15.500,Rp37.000,,,,,,,,,,,,
Shopee,Jam Tangan,Jam Tangan Pria,ANTI AIR BEST SELLER - JAM G-SHOCK DUAL TIME GWG Jam Tangan Pria G-Shock 2 Time,https://shopee.co.id/BEST-SELLER-JAM-G-SHOCK-DUAL-TIME-GWG-Jam-Tangan-Pria-G-Shock-2-Time-i.7942015.111271999,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,Tidak Ada Merek,1000,10,15,LIST BIRU,Rp70.000,Rp100.000,LIST PUTIH,Rp65.100,Rp70.000,LIST MERAH,Rp70.000,Rp100.000,FULL BLACK,Rp70.000,Rp100.000,TALI BIRU,Rp70.000,Rp100.000,TALI ABU,Rp70.000,Rp100.000,LIST GOLD,Rp70.000,Rp100.000,TALI HIJAU/ARMY,Rp70.000,Rp100.000,LIST HIJAU,Rp70.000,Rp100.000,TALI CREAM,Rp70.000,Rp100.000,TALI MERAH,Rp70.000,Rp100.000
Shopee,Jam Tangan,Jam Tangan Pria,6 WARNA FREE BOX KANCING MAXELL JAM TANGAN PRIA MURAH CASIO G-SHOCK GSHOCK DUALTIME GWG-1000 GK002,https://shopee.co.id/6-WARNA-FREE-BOX-KANCING-MAXELL-JAM-TANGAN-PRIA-MURAH-CASIO-G-SHOCK-GSHOCK-DUALTIME-GWG-1000-GK002-i.3720074.18826278,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,Tidak Ada Merek,1000,10,15,GWG FULLBLACK MAXELL,Rp90.000,Rp125.000,GWG LIS PUTIH MAXELL,Rp90.000,Rp125.000,GWG LIS MERAH MAXELL,Rp90.000,Rp125.000,GWG LIST GOLD MAXELL,Rp90.000,Rp125.000,GWG LIST BIRU MAXELL,Rp90.000,Rp125.000,GWG TALI MERAH MAXEL,Rp90.000,Rp125.000,,,,,,,,,,,,,,,
Shopee,Jam Tangan,Jam Tangan Pria,Jam Tangan Sport Pria SKMEI Laser 1243 Hitam Impor Original Murah Tahan Air 5 ATM,https://shopee.co.id/Jam-Tangan-Sport-Pria-SKMEI-Laser-1243-Hitam-Impor-Original-Murah-Tahan-Air-5-ATM-i.432855.225926503,Garansi Shopee Dapatkan barang pesananmu atau uang kembali.,SKMEI,1000,10,15,N/A,Rp74.122,Rp123.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
