category,class_name,class_url
美妝保健,開架流行清潔保養,開架流行清潔保養-cat.67.15401
美妝保健,開架流行彩妝,開架流行彩妝-cat.67.15730
美妝保健,專櫃清潔保養,專櫃清潔保養-cat.67.15614
美妝保健,專櫃彩妝,專櫃彩妝-cat.67.15701
美妝保健,醫美清潔保養,醫美清潔保養-cat.67.15668
美妝保健,美髮護理,美髮護理-cat.67.1549
美妝保健,身體清潔、保養,身體清潔、保養-cat.67.1547
美妝保健,香水、香氛,香水、香氛-cat.67.2659
美妝保健,手足保養、美甲,手足保養、美甲-cat.67.1551
美妝保健,保健食品、營養品,保健食品、營養品-cat.67.10286
美妝保健,私密清潔保養,私密清潔保養-cat.67.10350
美妝保健,美容工具,美容工具-cat.67.1557
美妝保健,男士保養,男士保養-cat.67.1553
美妝保健,其他,其他-cat.67.292
居家生活,餐廚,餐廚-cat.73.1601
居家生活,收納,收納-cat.73.1605
居家生活,傢俱,傢俱-cat.73.1597
居家生活,寢具,寢具-cat.73.1599
居家生活,五金修繕,五金修繕-cat.73.2184
居家生活,浴室,浴室-cat.73.1603
居家生活,日用品,日用品-cat.73.2182
居家生活,水壺、杯子,水壺、杯子-cat.73.2686
居家生活,居家裝飾,居家裝飾-cat.73.2181
居家生活,居家香氛,居家香氛-cat.73.2183
居家生活,文具,文具-cat.73.1609
居家生活,園藝植作,園藝植作-cat.73.2621
居家生活,燈具,燈具-cat.73.2618
居家生活,居安防護,居安防護-cat.73.16291
居家生活,其他,其他-cat.73.296
居家生活,電動工具,電動工具-cat.73.19985
女生配件,襪子,襪子-cat.2580.2590
女生配件,帽子,帽子-cat.2580.2582
女生配件,髮飾,髮飾-cat.2580.2586
女生配件,項鍊,項鍊-cat.2580.2581
女生配件,手環,手環-cat.2580.2583
女生配件,圍巾、手套,圍巾、手套-cat.2580.2587
女生配件,耳環,耳環-cat.2580.2584
女生配件,眼鏡,眼鏡-cat.2580.2588
女生配件,手錶,手錶-cat.2580.2589
女生配件,戒指,戒指-cat.2580.2585
女生配件,吊飾,吊飾-cat.2580.2591
女生配件,國際精品配件,國際精品配件-cat.2580.18851
女生配件,皮帶-腰帶,皮帶-腰帶-cat.2580.18849
女生配件,黃金,黃金-cat.2580.18863
女生配件,鑽石,鑽石-cat.2580.18861
女生配件,珠寶-玉石,珠寶-玉石-cat.2580.18865
女生配件,其他,其他-cat.2580.2592
寵物,外出用品,外出用品-cat.1657.1663
寵物,寵物零食,寵物零食-cat.1657.2698
寵物,貓飼料,貓飼料-cat.1657.2672
寵物,狗飼料,狗飼料-cat.1657.2671
寵物,其他寵物食品,其他寵物食品-cat.1657.2673
寵物,寵物用品,寵物用品-cat.1657.2205
寵物,寵物玩具,寵物玩具-cat.1657.2674
寵物,寵物服飾,寵物服飾-cat.1657.1661
寵物,水族相關,水族相關-cat.1657.2675
寵物,其他,其他-cat.1657.1658
寵物,鳥類相關,鳥類相關-cat.1657.20265
寵物,鼠兔相關,鼠兔相關-cat.1657.20263
寵物,寵物營養保健品,寵物營養保健品-cat.1657.20261
女鞋,跟鞋,跟鞋-cat.64.1825
女鞋,厚底鞋、楔型鞋,厚底鞋、楔型鞋-cat.64.1831
女鞋,平底鞋,平底鞋-cat.64.1827
女鞋,涼鞋、拖鞋,涼鞋、拖鞋-cat.64.1829
女鞋,靴子,靴子-cat.64.1833
女鞋,其他,其他-cat.64.299
女鞋,休閒鞋、帆布鞋,休閒鞋、帆布鞋-cat.64.17157
女鞋,鞋材用品,鞋材用品-cat.64.17156
男鞋,涼鞋、拖鞋,涼鞋、拖鞋-cat.1859.1867
男鞋,休閒鞋、帆布鞋,休閒鞋、帆布鞋-cat.1859.1861
男鞋,皮鞋、靴子,皮鞋、靴子-cat.1859.1869
男鞋,鞋材用品,鞋材用品-cat.1859.7889
男鞋,其他,其他-cat.1859.1860
女生包包-精品,後背包,後背包-cat.65.1803
女生包包-精品,側背包-肩背包,側背包-肩背包-cat.65.1805
女生包包-精品,手提-托特包,手提-托特包-cat.65.1801
女生包包-精品,皮夾,皮夾-cat.65.1799
女生包包-精品,名牌精品包,名牌精品包-cat.65.1807
女生包包-精品,其他,其他-cat.65.300
女生包包-精品,帆布包,帆布包-cat.65.18843
女生包包-精品,斜背包,斜背包-cat.65.19527
男生包包與配件,錢包、皮件,錢包、皮件-cat.1837.1841
男生包包與配件,後背包,後背包-cat.1837.1845
男生包包與配件,手錶,手錶-cat.1837.1839
男生包包與配件,側背-斜背包,側背-斜背包-cat.1837.1843
男生包包與配件,帽子,帽子-cat.1837.1855
男生包包與配件,飾品,飾品-cat.1837.2175
男生包包與配件,襪子,襪子-cat.1837.2578
男生包包與配件,眼鏡,眼鏡-cat.1837.1853
男生包包與配件,手提包,手提包-cat.1837.1847
男生包包與配件,圍巾、手套,圍巾、手套-cat.1837.1857
男生包包與配件,其他,其他-cat.1837.1838
男生包包與配件,男仕精品包包配件,男仕精品包包配件-cat.1837.20589
男生包包與配件,皮帶、領帶,皮帶、領帶-cat.1837.20587
