中文单位名,英文单位名
长春金融高等专科学校,"Changchun Finance Coll, Dept Phys Educ, Changchun 130022, Jilin, Peoples R China
;"
长春理工大学,"Changchun Sci & Technol Univ, Coll Biol & Food, Changchun 130600, Jilin, Peoples R China"
长春科技大学,"Changchun Sci.-Tech. University of Information Engineering, Changchun, China
;"
,"Changchun Teachers Univ Changchun, Changchun, JinLin Province, Peoples R China"
,"Changhai Hosp, Mil Coll 2, Shanghai, Peoples R China"
,"Changhai Hospital, Naval Military University (The Second Military University), Shanghai, China
;"
,"Changhcun Sci Tech Univ, Engn Res Ctr Mt Changbai Ecol Resources Dev, Changchun 130600, Jilin, Peoples R China
;"
,"Changhou Univ, Ctr Low Dimens Mat Micronano Devices & Syst, Jiangsu Key Lab Solar Cell Mat & Technol, Changzhou 213164, Peoples R China"
,"Changhun Normal Univ, Sch Life Sci, Changchun 130032, Jilin, Peoples R China
;"
,"Changping College of Non-commissioned Officer, The Academy of Equipment, Beijing, China ;"
,"Changqing Sulige Gas Field Command Ctr, Gas Collcting Stn 4, Six Rd, Erdos, Inner Mongolia, Peoples R China
;"
,"Changsha Aeronautical Technical College, Aero-equipment Maintainance Egineering Deparment, Changsha, China ;"
,"Changsha Elect Power Tech Coll, Changsha 410131, Hunan, Peoples R China
;"
,"Changsha Elect Power Tech Coll, Dept Elect Power, Changsha 410131, Hunan, Peoples R China
;"
,"Changshou Univ, Adv Catalysis & Green Mfg Collaborat Innovat Ctr, Chcmgsshou 213164, Peoples R China
;"
,"Changsshou Univ, Sch Math & Phys, Changsshou 213164, Peoples R China
;"
,"Changzhau Univ, Coll Pharmaceut Engn & Life Sci, Dept Biochem Engn, Changzhau 213164, Jiangsu, Peoples R China
;"
,"Changzhou Coll Informat & Technol, Dept Mech & Elect Engn, Changzhou, Peoples R China
;"
,"Changzhou Inst Ind Technol, Coll Art & Creat, 28 Mingxin Middle Rd, Changzhou 213164, Peoples R China"
,"Changzhou Key Laboratory of New Textile Materials, Changzhou Textile Garment College, Changzhou, China ;"
,"Changzhou Tech Coll Jiangsu Prov, Dept Mech & Elect, Changzhou 213000, Peoples R China
;"
,"Changzhou Technician Coll Jiangsu Prov, Dept Mech Engn, Changzhou 213032, Peoples R China"
,"Changzhou Textile Garment College, Changzhou 213164, China ;"
,"Changzhou Textile Garment College, Changzhou 213164, China ;"
,"Changzhuo Univ, Sch Petr Engn, Changzhou 213164, Jiangsu, Peoples R China
;"
,"Chem & Environm Sci Coll, Inner Mongolia Key Lab Green Catalysis, Hohhot 010022, Peoples R China"
,"Chem Engn Coll, Nanjing 210094, Jiangsu, Peoples R China"
,"Chemistry Department, College of Chemistry and Life Sciences, Zhengjinag Normal University, Jinhua 321004, China ;"
,"Chendu Normal Univ, Sch Comp Sci, Chengdu 611130, Peoples R China"
,"Cheng Du Community Univ, Chengdu, Peoples R China"
,"Chengde Teachers Coll Nationalities, Dept Phys, Chengde 067000, Peoples R China"
,"Chengdu Aeronaut Polytech, Coll Architecture Engn, Chengdu 610100, Sichuan, Peoples R China
;"
,"Chengdu Aeronaut Polytech, Coll Elect & Informat Engn, Chengdu 610100, Sichuan, Peoples R China
;"
,"Chengdu Coll Arts & Sci, Sch Educ, Chengdu, Peoples R China
;"
,"Chengdu Coll Engn & Technol, Chengdu 610018, Peoples R China"
,"Chengdu Electromechanical College, Chengdu 610054, China ;"
,"Chengdu Technological Univ., Chengdu, China ;"
,"Chengdu Technological University ,  Chengdu"
,"Chengdu Uinvers Technol, Engn & Tech Coll, Leshan 614000, Peoples R China
;"
,"Cheongju Univ, Cheongju, Peoples R China"
,"Cheriton School of Computer Science, University of Waterloo, 200 University Ave West, Waterloo"
,"Chiang Mai University, Faculty of Agriculture, Chiang Mai"
,"Chifeng Med Coll, Dept Urol, Affiliated Hosp, Chifeng 024000, Inner Mongolia, Peoples R China
;"
,"Chiha Univ Min & Technol, Low Carbon Energy Inst, Xuzhou 221008, Jiangsu, Peoples R China
;"
,"Chin Yi Univ Technol, Dept Mech Engn, Tai Chung, Peoples R China"
,"China Agricultrual University, Beijing, 100083, China
;"
,"China Agron & Biotechnol, Coll Agron & Biotechnol, Dept Plant Pathol, Beijing 100193, Peoples R China"
,"China Cent Univ Finance & Econ, 39 Xueyuan Nanlu, Haidian Dist, Peoples R China
;"
,"China Cent Univ Finance & Econ, Fac Law, Beijing 100081, Peoples R China"
,"China Electric Power University, Baoding 071003, China ;"
,"China Gorges Univ, Three Gorges Math Res Ctr, Yichang 443002, Hubei, Peoples R China
;"
,"China Green Univ Network, Shanghai 200092, Peoples R China"
,"China Informat Consulting & Designing Institude C, Tower Coll, Nanjing 210019, Jiangsu, Peoples R China
;"
,"China Jilang University, Hangzhou, China
;"
,"China Min Univ Technol, Natl Ctr Coal Preparat & Purificat Engn Res, Xuzhou 221116, Jiangsu, Peoples R China"
,"China Min Univ, Beijing 100083, Peoples R China
;"
,"China Min Univ, Sch Mechatron & Informat Engn, Beijing 100083, Peoples R China
;"
,"China Mobile Univ, Beijing 102200, Peoples R China"
